COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
┐делеN╜X,┐делжW║┘,╢m┬эел░╧еN╜X,╢m┬эел░╧жW║┘,з°и╜еN╜X,з°и╜жW║┘,й╩дёи╥,дс╢q,дHдf▒Kл╫,з▀╛iдё,з▀еодё,з▀ж╤дё,ж╤д╞л№╝╞,╕ъо╞о╔╢б
65000,╖sе_ел,65000040,е├йM░╧,65000040-010,й╛╕qи╜,101.49,2.72,14310.33,41.57,12.52,29.04,231.94,109Y09M
65000,╖sе_ел,65000040,е├йM░╧,65000040-011,е├д╕и╜,89.01,2.52,61879.22,49.85,20.2,29.65,146.75,109Y09M
65000,╖sе_ел,65000040,е├йM░╧,65000040-012,иqкLи╜,94.05,2.48,51223.5,47.52,21.99,25.53,116.08,109Y09M
65000,╖sе_ел,65000040,е├йM░╧,65000040-013,лOжwи╜,89.9,2.49,27558.53,38.84,16.59,22.26,134.17,109Y09M
65000,╖sе_ел,65000040,е├йM░╧,65000040-014,дд╖╦и╜,98.27,2.45,56120.11,38.47,13.77,24.7,179.3,109Y09M
65000,╖sе_ел,65000040,е├йM░╧,65000040-015,е├жwи╜,85.8,2.33,77567.87,42.2,16.53,25.67,155.24,109Y09M
65000,╖sе_ел,65000040,е├йM░╧,65000040-016,е┴▒┌и╜,89.11,2.56,60443.51,50.31,21.72,28.59,131.63,109Y09M
65000,╖sе_ел,65000040,е├йM░╧,65000040-017,е┴┼vи╜,91.92,2.69,41007.56,49.16,22.02,27.13,123.2,109Y09M
65000,╖sе_ел,65000040,е├йM░╧,65000040-018,дд┐│и╜,85.3,2.23,50623.38,51.69,16.82,34.87,207.26,109Y09M
65000,╖sе_ел,65000040,е├йM░╧,65000040-019,└yжци╜,87.04,2.18,36017.13,45.81,14.24,31.57,221.77,109Y09M
65000,╖sе_ел,65000040,е├йM░╧,65000040-020,иqо╘и╜,95.28,2.54,49206.79,45.98,17.72,28.27,159.55,109Y09M
65000,╖sе_ел,65000040,е├йM░╧,65000040-021,иqжии╜,95.77,2.51,8507.44,45.37,14.71,30.65,208.33,109Y09M
65000,╖sе_ел,65000040,е├йM░╧,65000040-022,дW╖╦и╜,86.13,2.15,38662.42,43.75,11.46,32.29,281.82,109Y09M
65000,╖sе_ел,65000040,е├йM░╧,65000040-023,ж╦кLи╜,91.24,2.45,36755.78,48.58,15.82,32.75,207,109Y09M
65000,╖sе_ел,65000040,е├йM░╧,65000040-024,┬∙йMи╜,83.17,2.34,55180.46,43.01,17.71,25.3,142.86,109Y09M
65000,╖sе_ел,65000040,е├йM░╧,65000040-025,жwйMи╜,84.13,2.26,51011.67,47.08,16.19,30.89,190.76,109Y09M
65000,╖sе_ел,65000040,е├йM░╧,65000040-026,дЇ╖╜и╜,90.58,2.47,49939.5,47.46,17.47,29.99,171.69,109Y09M
65000,╖sе_ел,65000040,е├йM░╧,65000040-027,иєйMи╜,93.19,2.31,43861.55,43.98,13.95,30.03,215.31,109Y09M
65000,╖sе_ел,65000040,е├йM░╧,65000040-028,кe│Ўи╜,90.72,2.23,21265,42.16,16.21,25.95,160.1,109Y09M
65000,╖sе_ел,65000040,е├йM░╧,65000040-029,│╗╖╦и╜,87.28,2.32,47989.6,46.55,14.61,31.93,218.5,109Y09M
65000,╖sе_ел,65000040,е├йM░╧,65000040-030,╝цсYи╜,83.89,2.43,43455.24,44.14,18.07,26.07,144.22,109Y09M
65000,╖sе_ел,65000040,е├йM░╧,65000040-031,╝цжwи╜,91.73,2.45,60388.57,46.21,18.74,27.47,146.6,109Y09M
