縣市代碼,縣市名稱,鄉鎮市區,學校代碼,學校名稱,班級數7年級,班級數8年級,班級數9年級,學生數7年級男,學生數7年級女,學生數8年級男,學生數8年級女,學生數9年級男,學生數9年級女,學生數,上學年男畢業生,上學年女畢業生,男專任教師,女專任教師,男職員,女職員
50,高雄市,苓雅區,580301,國立高師附中附設國中部,4,4,4,66,49,54,63,59,58,349,59,55,-,-,-,-
50,高雄市,苓雅區,581301,私立復華高中附設國中部,5,5,4,119,81,125,73,103,55,556,91,66,-,-,-,-
50,高雄市,苓雅區,581302,私立道明中學附設國中部,11,12,10,226,198,208,209,199,175,1215,188,184,-,-,-,-
50,高雄市,苓雅區,583301,市立中正高中附設國中部,8,7,8,95,94,100,77,100,114,580,100,97,-,-,-,-
50,高雄市,苓雅區,583501,市立苓雅國中,7,7,7,87,93,82,94,81,104,541,76,90,13,42,2,8
50,高雄市,苓雅區,583502,市立五福國中,28,28,28,478,413,408,406,412,377,2494,409,416,42,156,1,16
50,高雄市,苓雅區,583503,市立大仁國中,6,5,6,49,43,57,41,65,36,291,64,51,13,37,2,8
50,高雄市,苓雅區,583505,市立英明國中,8,7,8,107,80,88,66,107,86,534,106,74,16,47,3,7
50,高雄市,前鎮區,593302,市立瑞祥高中附設國中部,16,16,16,207,232,237,210,223,222,1331,241,233,-,-,-,-
50,高雄市,前鎮區,593501,市立獅甲國中,4,4,6,47,55,49,46,49,62,308,65,62,15,26,2,6
50,高雄市,前鎮區,593502,市立前鎮國中,7,7,7,86,92,95,82,95,90,540,90,94,18,42,1,9
50,高雄市,前鎮區,593503,市立瑞豐國中,4,5,4,52,39,56,54,58,49,308,57,58,9,29,2,6
50,高雄市,前鎮區,593504,市立光華國中,11,12,11,161,148,170,161,156,132,928,136,155,22,76,3,9
50,高雄市,前鎮區,593505,市立興仁國中,1,2,3,12,7,16,12,20,19,86,30,19,7,14,-,7
50,高雄市,旗津區,603501,市立旗津國中,3,4,5,47,34,61,45,65,47,299,58,55,15,23,1,7
50,高雄市,小港區,610405,國立高雄餐旅大學附屬餐旅高中附設國中部,3,3,3,39,51,40,50,28,62,270,30,58,-,-,-,-
50,高雄市,小港區,613501,市立小港國中,14,12,13,204,176,187,156,181,154,1058,192,168,27,73,4,5
50,高雄市,小港區,613502,市立鳳林國中,3,4,4,33,24,26,36,38,40,197,28,43,11,20,1,6
50,高雄市,小港區,613503,市立中山國中,17,17,19,250,236,260,241,293,266,1546,262,260,45,89,6,8
50,高雄市,小港區,613504,市立明義國中,12,12,12,163,141,173,155,157,143,932,150,139,25,68,3,9
71,金門縣,金城鎮,714501,縣立金城國中,11,11,10,153,126,161,123,135,146,844,140,157,42,47,7,7
71,金門縣,金湖鎮,714502,縣立金湖國中,6,6,7,77,68,84,65,80,71,445,65,69,23,34,7,3
71,金門縣,金寧鄉,714503,縣立金寧國中(小),4,3,3,53,33,46,28,33,35,228,31,29,16,15,2,8
71,金門縣,金沙鎮,714504,縣立金沙國中,4,4,4,46,34,43,41,45,32,241,39,39,15,22,2,5
71,金門縣,烈嶼鄉,714505,縣立烈嶼國中,2,2,2,12,14,21,22,11,16,96,13,23,11,12,2,4
72,連江縣,南竿鄉,724501,縣立介壽國中(小),2,2,2,18,14,14,15,25,16,102,14,24,9,10,4,4
72,連江縣,南竿鄉,724502,縣立中正國中(小),1,1,1,11,10,8,17,9,8,63,7,4,9,5,3,3
72,連江縣,北竿鄉,724503,縣立中山國中,1,1,1,4,10,8,5,11,6,44,8,5,4,11,3,2
72,連江縣,莒光鄉,724504,縣立敬恆國中(小),1,1,1,1,1,5,3,2,7,19,2,-,5,5,2,3
72,連江縣,東引鄉,724505,縣立東引國中(小),1,1,1,4,3,7,5,7,3,29,2,1,7,5,1,4
