"","city","township","village","fullname","Nb","Nr","Nt"
"68","屏東縣","內埔鄉","美和村","屏東縣內埔鄉美和村",26,29.8924,26
"69","屏東縣","內埔鄉","富田村","屏東縣內埔鄉富田村",183.3333,48.7744,37
"70","屏東縣","內埔鄉","義亭村","屏東縣內埔鄉義亭村",67,13.3053,14
"71","屏東縣","內埔鄉","興南村","屏東縣內埔鄉興南村",394,40.3616,32
"72","屏東縣","車城鄉","後灣村","屏東縣車城鄉後灣村",27.9091,28.4444,28
"73","屏東縣","車城鄉","射寮村","屏東縣車城鄉射寮村",36.5789,40.979,28
"74","屏東縣","車城鄉","新街村","屏東縣車城鄉新街村",7.6667,9.5,9
"75","屏東縣","東港鎮","東隆里","屏東縣東港鎮東隆里",11,14.4918,11
"76","屏東縣","東港鎮","興和里","屏東縣東港鎮興和里",15,20.5533,15
"77","屏東縣","枋寮鄉","內寮村","屏東縣枋寮鄉內寮村",49.9333,56.26,49
"78","屏東縣","枋寮鄉","安樂村","屏東縣枋寮鄉安樂村",67.7778,47.3748,35
"79","屏東縣","枋寮鄉","枋寮村","屏東縣枋寮鄉枋寮村",60.4516,70.8574,53
"80","屏東縣","枋寮鄉","隆山村","屏東縣枋寮鄉隆山村",122.2,128.8779,102
"81","屏東縣","林邊鄉","水利村","屏東縣林邊鄉水利村",23.3846,24.8859,22
"82","屏東縣","林邊鄉","竹林村","屏東縣林邊鄉竹林村",447,40.7019,34
"83","屏東縣","林邊鄉","鎮安村","屏東縣林邊鄉鎮安村",73.3,71.6513,46
"84","屏東縣","屏東市","一心里","屏東縣屏東市一心里",0,0,0
"85","屏東縣","屏東市","大洲里","屏東縣屏東市大洲里",132,22.2064,18
"86","屏東縣","屏東市","永昌里","屏東縣屏東市永昌里",5,4.8445,5
"87","屏東縣","屏東市","玉成里","屏東縣屏東市玉成里",4,3.5948,4
"88","屏東縣","屏東市","和興里","屏東縣屏東市和興里",27,10.5008,8
"89","屏東縣","屏東市","信和里","屏東縣屏東市信和里",599,49.5349,40
"90","屏東縣","屏東市","崇蘭里","屏東縣屏東市崇蘭里",14,16.6271,14
"91","屏東縣","屏東市","勝利里","屏東縣屏東市勝利里",8,8.202,8
"92","屏東縣","屏東市","萬年里","屏東縣屏東市萬年里",9,6,4
"93","屏東縣","屏東市","橋南里","屏東縣屏東市橋南里",99,23.9793,23
"94","屏東縣","屏東市","豐田里","屏東縣屏東市豐田里",9,10.7331,9
"95","屏東縣","屏東市","豐榮里","屏東縣屏東市豐榮里",13,18.9537,13
"96","屏東縣","萬巒鄉","五溝村","屏東縣萬巒鄉五溝村",17.4583,21.1396,18
"97","屏東縣","萬巒鄉","佳佐村","屏東縣萬巒鄉佳佐村",68.8333,72.7789,59
"98","屏東縣","萬巒鄉","泗溝村","屏東縣萬巒鄉泗溝村",29.04,29.1612,27
"99","屏東縣","萬巒鄉","鹿寮村","屏東縣萬巒鄉鹿寮村",32,30.8068,25
"100","屏東縣","潮州鎮","光華里","屏東縣潮州鎮光華里",13,12.7299,13
"101","苗栗縣","三義鄉","西湖村","苗栗縣三義鄉西湖村",19,23.2979,19
"102","苗栗縣","三義鄉","勝興村","苗栗縣三義鄉勝興村",115,23.2048,18
"103","苗栗縣","大湖鄉","南湖村","苗栗縣大湖鄉南湖村",2,1.3333,2
"104","苗栗縣","大湖鄉","栗林村","苗栗縣大湖鄉栗林村",3,2.6472,3
"105","苗栗縣","大湖鄉","靜湖村","苗栗縣大湖鄉靜湖村",2.3333,3.5004,3
"106","苗栗縣","西湖鄉","二湖村","苗栗縣西湖鄉二湖村",11,15.9629,11
"107","苗栗縣","西湖鄉","湖東村","苗栗縣西湖鄉湖東村",23,30.9574,23
"108","苗栗縣","苑裡鎮","苑東里","苗栗縣苑裡鎮苑東里",15,20.5533,15
"109","苗栗縣","苑裡鎮","苑南里","苗栗縣苑裡鎮苑南里",8,11.4074,8
"110","苗栗縣","通霄鎮","內島里","苗栗縣通霄鎮內島里",18,8.535,6
"111","苗栗縣","通霄鎮","坪頂里","苗栗縣通霄鎮坪頂里",11,17.8571,11
"112","苗栗縣","通霄鎮","南和里","苗栗縣通霄鎮南和里",9,11.3021,9
"113","苗栗縣","通霄鎮","福興里","苗栗縣通霄鎮福興里",16,17.2191,16
"114","苗栗縣","頭份市","斗煥里","苗栗縣頭份市斗煥里",4,3.5948,4
"115","苗栗縣","頭份市","民族里","苗栗縣頭份市民族里",0,0,0
"116","苗栗縣","頭份市","民權里","苗栗縣頭份市民權里",2,2,2
"117","苗栗縣","頭份市","和平里","苗栗縣頭份市和平里",2,2,2
"118","苗栗縣","頭份市","珊湖里","苗栗縣頭份市珊湖里",5.1818,5,6
"119","苗栗縣","頭份市","新華里","苗栗縣頭份市新華里",14,7.1242,7
"120","桃園市","八德區","大安里","桃園市八德區大安里",41,53.5737,41
"121","桃園市","八德區","大智里","桃園市八德區大智里",8,10.5008,8
"122","桃園市","八德區","高城里","桃園市八德區高城里",44,13.0012,11
"123","桃園市","八德區","福興里","桃園市八德區福興里",27,32.4028,27
"124","桃園市","八德區","廣興里","桃園市八德區廣興里",32,39.3898,32
"125","桃園市","大園區","圳頭里","桃園市大園區圳頭里",46,53.0137,46
"126","桃園市","大園區","南港里","桃園市大園區南港里",45,56.129,45
"127","桃園市","大園區","溪海里","桃園市大園區溪海里",44,55.2877,44
"128","桃園市","大溪區","田心里","桃園市大溪區田心里",41.5,19.5108,15
"129","桃園市","大溪區","南興里","桃園市大溪區南興里",25,34.7054,25
"130","桃園市","大溪區","僑愛里","桃園市大溪區僑愛里",10,11.2796,10
"131","桃園市","大溪區","興和里","桃園市大溪區興和里",13,17.5801,13
"132","桃園市","中壢區","中正里","桃園市中壢區中正里",13,5.4006,5
"133","桃園市","中壢區","石頭里","桃園市中壢區石頭里",5,5.5504,5
"134","桃園市","中壢區","自信里","桃園市中壢區自信里",6,7.8012,6
"135","桃園市","中壢區","忠孝里","桃園市中壢區忠孝里",12,15.777,12
"136","桃園市","中壢區","金華里","桃園市中壢區金華里",49,12.5813,11
"137","桃園市","中壢區","普仁里","桃園市中壢區普仁里",1,1,1
"138","桃園市","平鎮區","新榮里","桃園市平鎮區新榮里",7,8.1122,7
"139","桃園市","平鎮區","廣仁里","桃園市平鎮區廣仁里",17,16.369,17
"140","桃園市","平鎮區","廣興里","桃園市平鎮區廣興里",6,5.7734,6
"141","桃園市","平鎮區","龍興里","桃園市平鎮區龍興里",2,1.3333,2
"142","桃園市","平鎮區","雙連里","桃園市平鎮區雙連里",57,72.3676,57
"143","桃園市","桃園區","文明里","桃園市桃園區文明里",2,2,2
"144","桃園市","桃園區","民生里","桃園市桃園區民生里",7,8.8891,7
