"","city","Nb2stage.ee","Nr2stage.ee","Nt2stage.ee"
"1","宜蘭縣",11481.6471444444,4109.25935555556,3385.77777777778
"2","花蓮縣",8334.96515714286,6242.46727857143,5100.21428571429
"3","金門縣",313.125,233.47875,187.5
"4","南投縣",26644.4142055556,6758.61514444444,5731.80555555555
"5","屏東縣",91753.90994,21027.1041616667,17026.7666666667
"6","苗栗縣",4097.393225,3205.159025,2582.25
"7","桃園市",12313.4872722222,11649.1013340278,9494.22916666667
"8","高雄市",35262.7419861111,18083.2540527778,14848.0277777778
"9","基隆市",13874.0305642857,3526.07309285714,2826
"10","連江縣",0,0,0
"11","雲林縣",11449.7274983333,6065.114585,5002.43333333333
"12","新北市",25191.2701618039,11911.6400999216,10029.2164705882
"13","新竹市",2875.66842105263,888.223568421053,776.947368421053
"14","新竹縣",4664.83333333333,4350.45178333333,3571.5
"15","嘉義市",1054.80415384615,1190.25221538462,1014.46153846154
"16","嘉義縣",165368.719770833,18631.8374479167,15183.7916666667
"17","彰化縣",22853.7981929293,9179.28758348485,7912.92424242424
"18","臺中市",11170.2874347826,6773.10535362319,5715.39130434783
"19","臺北市",8670.78084324324,3341.38436756757,2846.91891891892
"20","臺東縣",6631.40457777778,4082.38892222222,3223.22222222222
"21","臺南市",41389.8818513333,20786.6101993333,17266.9166666667
"22","澎湖縣",823.5,1126.6587,823.5
