宗教團體名稱,主管機關,主祀神祇,縣市,行政區,村里,地址,教　別,完整地址,X,Y
九鳳宮,宜蘭縣政府,九天玄女,宜蘭縣,宜蘭縣頭城鎮,金面里,宜蘭縣頭城鎮金面金面里北宜路二段2巷25號,道教,宜蘭縣頭城鎮金面里16鄰北宜路二段2巷25號,330281.397,2750570.052
蘭陽南海宮,宜蘭縣政府,九天娘娘,宜蘭縣,宜蘭縣冬山鄉,中山村,宜蘭縣冬山鄉中山村中山二路223號,道教,宜蘭縣冬山鄉中山村2鄰中山二路223號,325364.95,2725669.1
清安堂,宜蘭縣政府,人頭爺,宜蘭縣,宜蘭縣五結鄉,季新村,宜蘭縣五結鄉季新村季水路51號邊,道教,宜蘭縣五結鄉季新村4鄰季水路51號,334360.577,2731219.801
大南澳八仙宮,宜蘭縣政府,八仙,宜蘭縣,宜蘭縣南澳鄉,99,宜蘭縣南澳鄉蘇花路二段497號,道教,宜蘭縣南澳鄉南澳村1鄰蘇花路二段497號,331761.229,2707064.439
伏聖宮,宜蘭縣政府,八卦祖師,宜蘭縣,宜蘭縣員山鄉,枕山村,宜蘭縣員山鄉枕山村坡城路22-36號,道教,宜蘭縣員山鄉枕山村18鄰坡城路22號,320965.343,2741262.384
伏羲廟,宜蘭縣政府,八卦祖師,宜蘭縣,宜蘭縣宜蘭市,99,宜蘭縣宜蘭市南橋路27號,道教,宜蘭縣宜蘭市南橋里3鄰南橋路189之1號,324943.95,2735951.578
普恩廟,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣員山鄉,逸仙村,宜蘭縣員山鄉逸仙村大安路121號,道教,宜蘭縣員山鄉逸仙村12鄰大安路121號,320520.685,2737517.228
碧仙宮,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣員山鄉,永和村,宜蘭縣員山鄉永和村溫泉路65號,道教,宜蘭縣員山鄉永和村5鄰溫泉路65號,321860.445,2738270.313
福興廟,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣員山鄉,惠好村,宜蘭縣員山鄉惠好村賢德路二段66巷50號,道教,宜蘭縣員山鄉惠好村5鄰賢德路二段66巷50號,323921.713,2736262.156
廣安宮,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣冬山鄉,廣安村,宜蘭縣冬山鄉廣安村廣安路197號,道教,宜蘭縣冬山鄉廣安村8鄰廣安路197號,325496,2729532
保民廟,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣員山鄉,深溝村,宜蘭縣員山鄉深溝村深洲一路37巷7號,道教,宜蘭縣員山鄉深溝村10鄰深洲一路37巷7號,322822.136,2734482.777
慶安廟,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣員山鄉,枕山村,宜蘭縣員山鄉枕山村枕山路61號,道教,宜蘭縣員山鄉枕山村5鄰枕山路61號,322678.287,2740332.572
新興庄三山國王廟,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣礁溪鄉,林美村,宜蘭縣礁溪鄉林美村林尾路41號之1,道教,宜蘭縣礁溪鄉林美村5鄰林尾路41號之1,326375.157,2746108.668
永福宮,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣冬山鄉,太和村,宜蘭縣冬山鄉太和村太和路217號,道教,宜蘭縣冬山鄉太和村9鄰太和路217號,328356.803,2725312.515
得安宮,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣冬山鄉,得安村,宜蘭縣冬山鄉得安村大埤五路170巷3號,道教,宜蘭縣冬山鄉得安村7鄰大埤五路170巷3號,324079.64,2726986.98
蘭陽大興振安宮,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣冬山鄉,大興村,宜蘭縣冬山鄉大興村振安路1之1號,道教,宜蘭縣冬山鄉大興村6鄰振安路1之1號,332069.239,2724565.97
震三宮,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣羅東鎮,99,宜蘭縣羅東鎮天祥路168號,道教,宜蘭縣羅東鎮東安里4鄰天祥路168號,328568.848,2729903.401
震安宮,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣三星鄉,員山村,宜蘭縣三星鄉員山村泰雅一路531巷牛頭68號,道教,宜蘭縣三星鄉員山村2鄰泰雅一路牛頭531巷68號,307757.614,2725981.725
鎮興廟,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣宜蘭市,99,宜蘭縣宜蘭市進士路53號,道教,宜蘭縣宜蘭市進士里7鄰進士路53號,325518.099,2737353.569
三山宮,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣五結鄉,三興村,宜蘭縣五結鄉三興村復興三路270號,道教,宜蘭縣五結鄉三興村16鄰復興三路270號,328778.26,2733736.04
永光宮,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣冬山鄉,中山村,宜蘭縣冬山鄉中山村中山路256巷6號,道教,宜蘭縣冬山鄉中山村2鄰中山路256巷6號,325394.2,2724998.96
廣興宮,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣冬山鄉,廣興村,宜蘭縣冬山鄉廣興村永興路二段919號,道教,宜蘭縣冬山鄉廣興村9鄰永興路二段919號,325795.71,2729349.96
昭安宮,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣蘇澳鎮,龍德里,宜蘭縣蘇澳鎮龍德里1鄰育英路27號,道教,宜蘭縣蘇澳鎮龍德里2鄰育英路27號,334348.359,2725983.509
常興廟,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣礁溪鄉,二結村,宜蘭縣礁溪鄉二結村二結路54號,道教,宜蘭縣礁溪鄉二結村5鄰二結路54號,322990.896,2741973.879
永廣廟,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣員山鄉,永和村,宜蘭縣員山鄉永和村永廣路22號,道教,宜蘭縣員山鄉永和村15鄰永廣路22號,322188.161,2739313.734
興安宮,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣羅東鎮,99,宜蘭縣羅東鎮北成路2段38號,道教,宜蘭縣羅東鎮北成里11鄰北成路二段38號,326290.979,2730461.799
慶安宮,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣冬山鄉,八寶村,宜蘭縣冬山鄉八寶村寶慶路113巷20之1號,道教,宜蘭縣冬山鄉八寶村10鄰寶慶路113巷20之1號,327168.25,2725549.649
箕山宮,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣蘇澳鎮,聖愛里,宜蘭縣蘇澳鎮聖愛里中山一段476巷15號,道教,宜蘭縣蘇澳鎮聖愛里3鄰中山路一段476巷15號,334923.63,2721372.919
振安宮,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣冬山鄉,得安村,宜蘭縣冬山鄉得安村得安一路1號,道教,宜蘭縣冬山鄉得安村11鄰得安一路1號,324837.966,2727058.623
鎮安廟,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣冬山鄉,東城村,宜蘭縣冬山鄉東城村和睦路205號,道教,宜蘭縣冬山鄉東城村9鄰和睦路205號,330883.58,2724220.21
開興廟,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣宜蘭市,99,宜蘭縣宜蘭市開興路170巷5號,道教,宜蘭縣宜蘭市七張里1鄰開興路170巷5號,329794.65,2739173.1
永安廟,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣蘇澳鎮,港邊里,宜蘭縣蘇澳鎮港邊里港口路14號,道教,宜蘭縣蘇澳鎮港邊里11鄰港口路14號,335920.405,2723856.412
保安廟,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣蘇澳鎮,隘丁里,宜蘭縣蘇澳鎮隘丁里城南路22號,道教,宜蘭縣蘇澳鎮隘丁里7鄰城南路22號,334740.4,2723402.79
慶安廟,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣蘇澳鎮,新城里,宜蘭縣蘇澳鎮新城里慶安路1號,道教,宜蘭縣蘇澳鎮新城里2鄰慶安路1號,333758.53,2723986.71
永安宮,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣冬山鄉,順安村,宜蘭縣冬山鄉順安村義成路二段378巷15號,道教,宜蘭縣冬山鄉順安村28鄰義成路二段378巷15號,327379.659,2727655.609
三山國王廟,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣礁溪鄉,吳沙村,宜蘭縣礁溪鄉吳沙村四結路75之2號,道教,宜蘭縣礁溪鄉吳沙村26鄰四結75之2號,325653.36,2742857.404
鎮安廟,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣員山鄉,同樂村,宜蘭縣員山鄉同樂村新城路71號,道教,宜蘭縣員山鄉同樂村33鄰新城路71號,323890,2739781
讚化宮,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣員山鄉,頭分村,宜蘭縣員山鄉頭分村永同路2段186號,道教,宜蘭縣員山鄉頭分村9鄰永同路二段186號,322855.158,2739476.389
頭城三山宮,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣頭城鎮,武營里,宜蘭縣頭城鎮武營里青雲路三段369號,道教,宜蘭縣頭城鎮武營里2鄰青雲路三段369號,333623.09,2750644.6
三興宮,宜蘭縣政府,三山國王,宜蘭縣,宜蘭縣礁溪鄉,吳沙村,宜蘭縣礁溪鄉吳沙村三興巷4弄3號,道教,宜蘭縣礁溪鄉吳沙村17鄰三興巷4弄3號,326520.909,2742404.794
聖德堂,宜蘭縣政府,三太子,宜蘭縣,宜蘭縣頭城鎮,拔雅里,宜蘭縣頭城鎮拔雅里吉祥路272號,道教,宜蘭縣頭城鎮拔雅里6鄰吉祥路272號,331889.854,2750835.656
瑞光宮,宜蘭縣政府,三太子,宜蘭縣,宜蘭縣頭城鎮,拔雅里,宜蘭縣頭城鎮拔雅里吉祥路308號,道教,宜蘭縣頭城鎮拔雅里6鄰吉祥路308號,331757.759,2750927.902
中興廟,宜蘭縣政府,三王公,宜蘭縣,宜蘭縣頭城鎮,中崙里,宜蘭縣頭城鎮中崙里三和路598號,道教,宜蘭縣頭城鎮中崙里6鄰三和路598號,331085.468,2747286.821
理安宮,宜蘭縣政府,三王公,宜蘭縣,宜蘭縣頭城鎮,外澳里,宜蘭縣頭城鎮外澳里濱海路二段1巷33號,道教,宜蘭縣頭城鎮外澳里3鄰濱海路二段1巷33號,335075.601,2752788.882
玉尊宮,宜蘭縣政府,三官大帝,宜蘭縣,宜蘭縣礁溪鄉,時潮村,宜蘭縣礁溪鄉時潮村5鄰塭底路55-1號,道教,宜蘭縣礁溪鄉時潮村5鄰塭底路55之1號,331845,2744432
玉聖宮,宜蘭縣政府,三官大帝,宜蘭縣,宜蘭縣礁溪鄉,玉田村,宜蘭縣礁溪鄉玉田村茅埔路29-7號,道教,宜蘭縣礁溪鄉玉田村4鄰茅埔路29之7號,330100.038,2743417.609
大進進安宮,宜蘭縣政府,三官大帝,宜蘭縣,宜蘭縣冬山鄉,大進村,宜蘭縣冬山鄉大進村大進九路58號,道教,宜蘭縣冬山鄉大進村7鄰大進九路58號,322095.59,2725384.71
三皇宮,宜蘭縣政府,三官大帝,宜蘭縣,宜蘭縣三星鄉,貴林村,宜蘭縣三星鄉貴林村照林路3段337號,道教,宜蘭縣三星鄉貴林村5鄰照林路三段337號,318292.409,2731755.96
指安宮,宜蘭縣政府,三官大帝,宜蘭縣,宜蘭縣冬山鄉,柯林村,宜蘭縣冬山鄉柯林村柯林五路21號,道教,宜蘭縣冬山鄉柯林村14鄰柯林五路21號,323358.289,2729491.339
顯微宮,宜蘭縣政府,三官大帝,宜蘭縣,宜蘭縣三星鄉,拱照村,宜蘭縣三星鄉拱照村照林路一段8號,道教,宜蘭縣三星鄉拱照村3鄰照林路一段8號,318746.929,2728148.43
三元宮,宜蘭縣政府,三官大帝,宜蘭縣,宜蘭縣員山鄉,內城村,宜蘭縣員山鄉內城村內城路393號,道教,宜蘭縣員山鄉內城村3鄰內城路393號,319839.462,2735105.174
紫微宮,宜蘭縣政府,三官大帝,宜蘭縣,宜蘭縣三星鄉,大義村,宜蘭縣三星鄉大義村上將路3段398巷28號,道教,宜蘭縣三星鄉大義村7鄰上將路三段398巷28號,321182.467,2731146.79
鎮安宮,宜蘭縣政府,三官大帝,宜蘭縣,宜蘭縣冬山鄉,永美村,宜蘭縣冬山鄉永美村永興路一段188號,道教,宜蘭縣冬山鄉永美村14鄰永興路一段188號,328072.799,2727889.509
三聖廟,宜蘭縣政府,三官大帝,宜蘭縣,宜蘭縣宜蘭市,99,宜蘭縣宜蘭市東後街2號,道教,宜蘭縣宜蘭市孝廉里1鄰東後街2號,326237.757,2739461.953
三官宮,宜蘭縣政府,三官大帝,宜蘭縣,宜蘭縣員山鄉,深溝村,宜蘭縣員山鄉深溝村深蓁路88號,道教,宜蘭縣員山鄉深溝村5鄰深蓁路88號,322464.683,2735132.742
中和三福廟,宜蘭縣政府,三官大帝,宜蘭縣,宜蘭縣員山鄉,永和村,宜蘭縣員山鄉永和村永同路3段224巷66號之1,道教,宜蘭縣員山鄉永和村11鄰永同路三段224巷66號之1,321990,2738635
代天觀音慈善堂,宜蘭縣政府,三府王爺,宜蘭縣,宜蘭縣冬山鄉,大進村,宜蘭縣冬山鄉大進村進偉路398號,道教,宜蘭縣冬山鄉大進村16鄰進偉路398號,321673.31,2727377.64
祈安宮,宜蘭縣政府,三府王爺,宜蘭縣,宜蘭縣五結鄉,季新村,宜蘭縣五結鄉季新村季水路51號,道教,宜蘭縣五結鄉季新村4鄰季水路51號,334360.577,2731219.801
五恆山清微宮,宜蘭縣政府,三清祖師,宜蘭縣,宜蘭縣員山鄉,枕山村,宜蘭縣員山鄉枕山村坡城路37之50號,道教,宜蘭縣員山鄉枕山村19鄰坡城路37之50號,320499.799,2740535.211
道教總廟三清宮,宜蘭縣政府,三清道祖,宜蘭縣,宜蘭縣冬山鄉,得安村,宜蘭縣冬山鄉得安村三清路123號,道教,宜蘭縣冬山鄉得安村5鄰三清路123號,323971.628,2726029.926
聖清宮,宜蘭縣政府,三清道祖,宜蘭縣,宜蘭縣五結鄉,大吉村,宜蘭縣五結鄉大吉村大吉五路181巷39號,道教,宜蘭縣五結鄉大吉村24鄰大吉五路181巷39號,330701.65,2733150.81
菩提寺,宜蘭縣政府,三寶佛,宜蘭縣,宜蘭縣羅東鎮,99,宜蘭縣羅東鎮建中街2號,佛教,宜蘭縣羅東鎮國華里6鄰建中街2號,326631.409,2730269.68
白蓮寺,宜蘭縣政府,三寶佛,宜蘭縣,宜蘭縣冬山鄉,廣興村,宜蘭縣冬山鄉廣興村永興路二段903號,佛教,宜蘭縣冬山鄉廣興村9鄰永興路二段903號,325762.109,2729291.22
禪雲谷寺,宜蘭縣政府,千手千眼觀世音菩薩,宜蘭縣,宜蘭縣三星鄉,拱照村,宜蘭縣三星鄉拱照村大坑路75-7號,佛教,宜蘭縣三星鄉拱照村4鄰大坑路75號,318358.64,2727687.319
準提禪院,宜蘭縣政府,千手千眼觀世音菩薩,宜蘭縣,宜蘭縣冬山鄉,中山村,宜蘭縣冬山鄉中山村新寮一路172巷31號,佛教,宜蘭縣冬山鄉中山村9鄰新寮一路172巷31號,325826.15,2723954.62
福德祠,宜蘭縣政府,土地公,宜蘭縣,宜蘭縣員山鄉,湖北村,宜蘭縣員山鄉湖北村大湖路19號附近,道教,宜蘭縣員山鄉湖北村2鄰大湖路19之1號,320958.308,2737647.446
丸山福德正神,宜蘭縣政府,土地公,宜蘭縣,宜蘭縣冬山鄉,丸山村,宜蘭縣冬山鄉丸山村丸山路145號,道教,宜蘭縣冬山鄉丸山村11鄰丸山路145號,327007.31,2726325.169
福安廟,宜蘭縣政府,土地公,宜蘭縣,宜蘭縣冬山鄉,三奇村,宜蘭縣冬山鄉三奇村三奉路211號,道教,宜蘭縣冬山鄉三奇村1鄰三奉路211號,332114.31,2726921.79
三奇村福德宮,宜蘭縣政府,土地公,宜蘭縣,宜蘭縣冬山鄉,三奇村,宜蘭縣冬山鄉三奇村三福路123號,道教,宜蘭縣冬山鄉三奇村6鄰三福路123號,331869.33,2726015.23
福德廟,宜蘭縣政府,土地公,宜蘭縣,宜蘭縣冬山鄉,東城村,宜蘭縣冬山鄉東城村安平路781號,道教,宜蘭縣冬山鄉東城村9鄰安平路781號,330793.78,2724223.637
寶福廟,宜蘭縣政府,土地公,宜蘭縣,宜蘭縣冬山鄉,補城村,宜蘭縣冬山鄉補城村寶福路157號,道教,宜蘭縣冬山鄉補城村5鄰寶福路157號,331765.62,2727580.68
福德廟,宜蘭縣政府,土地公,宜蘭縣,宜蘭縣冬山鄉,安平村,宜蘭縣冬山鄉安平村安平路586號旁,道教,宜蘭縣冬山鄉安平村10鄰安平路586號,330124.446,2724297.591
牛稠坑福德廟,宜蘭縣政府,土地公,宜蘭縣,宜蘭縣冬山鄉,東城村,宜蘭縣冬山鄉東城村佛光路161號,道教,宜蘭縣冬山鄉東城村10鄰佛光路161號,331323.27,2723808.81
福安福德廟,宜蘭縣政府,土地公,宜蘭縣,宜蘭縣冬山鄉,99,宜蘭縣冬山鄉安平路58號旁,道教,宜蘭縣冬山鄉安平村7鄰安平路58號,329536.69,2725036.629
昭安福德廟,宜蘭縣政府,土地公,宜蘭縣,宜蘭縣冬山鄉,安平村,宜蘭縣冬山鄉安平村照安二路327巷38號旁,道教,宜蘭縣冬山鄉安平村12鄰照安二路327巷38號,330589.65,2723108.879
里腦福德廟,宜蘭縣政府,土地公,宜蘭縣,宜蘭縣冬山鄉,三奇村,宜蘭縣冬山鄉三奇村成興路326號,道教,宜蘭縣冬山鄉三奇村11鄰成興路326號,331120.299,2726120.45
南溪福德廟,宜蘭縣政府,土地公,宜蘭縣,宜蘭縣南澳鄉,武塔村,宜蘭縣南澳鄉武塔村南溪路17號,道教,宜蘭縣南澳鄉武塔村4鄰南溪路17號,329824.909,2703513.376
玉蘭福德廟,宜蘭縣政府,土地公,宜蘭縣,宜蘭縣大同鄉,松羅村,宜蘭縣大同鄉松羅村鹿場路3號,道教,宜蘭縣大同鄉松羅村8鄰鹿場路3號,309923.77,2728923.319
菩提觀佛修院,宜蘭縣政府,大日如來佛,宜蘭縣,宜蘭縣頭城鎮,福成里,宜蘭縣頭城鎮福成里福德路14號,佛教,宜蘭縣頭城鎮福成里10鄰福德路14號,331700.264,2752116.367
大安廟,宜蘭縣政府,大伯爺,宜蘭縣,宜蘭縣冬山鄉,安平村,宜蘭縣冬山鄉安平村大安路398號,道教,宜蘭縣冬山鄉安平村4鄰大安路398號,329245,2724656
鎮山廟,宜蘭縣政府,大眾爺,宜蘭縣,宜蘭縣冬山鄉,中山村,宜蘭縣冬山鄉中山村中山六路52巷31號旁,道教,宜蘭縣冬山鄉中山村4鄰中山六路52巷31號,324518.87,2724869.83
大眾爺廟,宜蘭縣政府,大眾爺,宜蘭縣,宜蘭縣冬山鄉,補城村,宜蘭縣冬山鄉補城村補城路76號斜對面,道教,宜蘭縣冬山鄉補城村8鄰補城路76號,331869.849,2726590
忠善堂,宜蘭縣政府,大眾爺,宜蘭縣,宜蘭縣五結鄉,利澤村,宜蘭縣五結鄉利澤村下福東路37號,道教,宜蘭縣五結鄉利澤村9鄰下福東路37號,333445.413,2729227.469
八大庄一百甲城隍廟,宜蘭縣政府,大眾爺,宜蘭縣,宜蘭縣五結鄉,錦眾村,宜蘭縣五結鄉錦眾村五結路一段120號,道教,宜蘭縣五結鄉錦眾村15鄰五結路一段120號,333784.456,2732018.009
南興大眾爺廟,宜蘭縣政府,大眾爺,宜蘭縣,宜蘭縣冬山鄉,南興村,宜蘭縣冬山鄉南興村冬山路175巷13號,道教,宜蘭縣冬山鄉南興村11鄰冬山路175巷13號,330150.163,2725452.302
東港大眾爺廟,宜蘭縣政府,大眾爺,宜蘭縣,宜蘭縣壯圍鄉,東港村,宜蘭縣壯圍鄉東港村廍後路1號,道教,宜蘭縣壯圍鄉東港村1鄰廍後路1號,333749.318,2734719.872
靈顯堂,宜蘭縣政府,大眾爺,宜蘭縣,宜蘭縣五結鄉,協和村,宜蘭縣五結鄉協和村協同街1巷12-1號,道教,宜蘭縣五結鄉協和村3鄰協同街1巷12之1號,330998.493,2731265.251
宜蘭縣礁溪鄉白石腳大眾廟,宜蘭縣政府,大眾爺,宜蘭縣,宜蘭縣礁溪鄉,玉石村,宜蘭縣礁溪鄉玉石村礁溪路6段86號,道教,宜蘭縣礁溪鄉玉石村3鄰礁溪路六段86號,328784.799,2747435
永安廟,宜蘭縣政府,大眾爺,宜蘭縣,宜蘭縣壯圍鄉,99,宜蘭縣壯圍鄉大福路三段423巷51號,道教,宜蘭縣壯圍鄉功勞村10鄰大福路三段423巷51號,328408.05,2740398.612
大眾爺廟,宜蘭縣政府,大眾爺,宜蘭縣,宜蘭縣宜蘭市,99,宜蘭縣宜蘭市清華二路336巷9號,道教,宜蘭縣宜蘭市南橋里5鄰清華二路336巷9號,325494.12,2735510.529
大眾爺廟,宜蘭縣政府,大眾爺,宜蘭縣,宜蘭縣三星鄉,拱照村,宜蘭縣三星鄉拱照村拱照七路75巷9號,道教,宜蘭縣三星鄉拱照村13鄰拱照七路75巷9號,317700.219,2728722.919
大眾廟,宜蘭縣政府,大眾爺,宜蘭縣,宜蘭縣三星鄉,行健村,宜蘭縣三星鄉行健村行健五路213號,道教,宜蘭縣三星鄉行健村4鄰行健五路213號,320865.03,2730034.37
大眾廟,宜蘭縣政府,大眾爺,宜蘭縣,宜蘭縣員山鄉,同樂村,宜蘭縣員山鄉同樂村永同路一段266號,道教,宜蘭縣員山鄉同樂村5鄰永同路一段266號,322268,2734228
順安公廟,宜蘭縣政府,大眾爺,宜蘭縣,宜蘭縣宜蘭市,南津里,宜蘭縣宜蘭市南津里縣政二街152號,道教,宜蘭縣宜蘭市南津里6鄰縣政二街152號,327369.62,2735501.02
隆恩大眾爺廟,宜蘭縣政府,大眾爺,宜蘭縣,宜蘭縣蘇澳鎮,龍德里,宜蘭縣蘇澳鎮龍德里隆恩路2號,道教,宜蘭縣蘇澳鎮龍德里12鄰隆恩路2號,333677.076,2725784.998
大眾爺廟,宜蘭縣政府,大眾爺地藏王,宜蘭縣,宜蘭縣冬山鄉,安平村,宜蘭縣冬山鄉安平村大安一路26號,道教,宜蘭縣冬山鄉安平村1鄰大安一路26號,329139,2724754
補天宮,宜蘭縣政府,女媧娘神,宜蘭縣,宜蘭縣壯圍鄉,99,宜蘭縣壯圍鄉壯濱路6段279號,道教,宜蘭縣壯圍鄉大福村9鄰壯濱路六段279號,332523.742,2744187.623
丸山太子宮,宜蘭縣政府,中壇元帥,宜蘭縣,宜蘭縣冬山鄉,丸山村,宜蘭縣冬山鄉丸山村溪心路185巷22號,道教,宜蘭縣冬山鄉丸山村4鄰溪心路185巷22號,326762.999,2727017.054
鎮安宮,宜蘭縣政府,中壇元帥,宜蘭縣,宜蘭縣員山鄉,逸仙村,宜蘭縣員山鄉逸仙村大湖十二路87號,道教,宜蘭縣員山鄉逸仙村1鄰大湖十二路87號,321329.581,2737174.526
保安宮,宜蘭縣政府,中壇元帥,宜蘭縣,宜蘭縣壯圍鄉,過嶺村,宜蘭縣壯圍鄉過嶺村壯濱路三段302號,道教,宜蘭縣壯圍鄉過嶺村6鄰壯濱路三段302號,332569.039,2739056.376
昭安宮,宜蘭縣政府,中壇元帥,宜蘭縣,宜蘭縣蘇澳鎮,南建里,宜蘭縣蘇澳鎮南建里內埤路119號,道教,宜蘭縣蘇澳鎮南建里11鄰內埤路119號,337899.136,2719272.029
廣法太子宮,宜蘭縣政府,中壇元帥,宜蘭縣,宜蘭縣蘇澳鎮,南寧里,宜蘭縣蘇澳鎮南寧里內埤路171號,道教,宜蘭縣蘇澳鎮南寧里1鄰內埤路171號,338163.59,2719551.189
永安宮,宜蘭縣政府,中壇元帥,宜蘭縣,宜蘭縣壯圍鄉,復興村,宜蘭縣壯圍鄉復興村紅葉路101-1號,道教,宜蘭縣壯圍鄉復興村12鄰紅葉路101之1號,332398.145,2737519.458
德陽宮,宜蘭縣政府,中壇元帥,宜蘭縣,宜蘭縣礁溪鄉,德陽村,宜蘭縣礁溪鄉德陽村中山路２段133號,道教,宜蘭縣礁溪鄉德陽村6鄰中山路二段133之1號,328170.822,2746811.276
代天宮,宜蘭縣政府,五府千歲,宜蘭縣,宜蘭縣員山鄉,尚德村,宜蘭縣員山鄉尚德村大鬮路43-1號,道教,宜蘭縣員山鄉尚德村19鄰大鬮路43之1號,322051.772,2736413.473
御展代天府,宜蘭縣政府,五府千歲,宜蘭縣,宜蘭縣冬山鄉,安平村,宜蘭縣冬山鄉安平村照安一路198號,道教,宜蘭縣冬山鄉安平村11鄰照安一路198號,330353.289,2723839.779
五福宮,宜蘭縣政府,五榖王,宜蘭縣,宜蘭縣五結鄉,孝威村,宜蘭縣五結鄉孝威村孝威路341巷6號,道教,宜蘭縣五結鄉孝威村15鄰孝威路341巷6號,332074.001,2732483.463
慈澳宮,宜蘭縣政府,五福大帝,宜蘭縣,宜蘭縣蘇澳鎮,永春里,宜蘭縣蘇澳鎮永春里永春路146巷3號,道教,宜蘭縣蘇澳鎮永春里7鄰永春路146巷3號,335649.88,2719763.109
五明宮,宜蘭縣政府,五顯大帝,宜蘭縣,宜蘭縣羅東鎮,99,宜蘭縣羅東鎮月眉路810號,道教,宜蘭縣羅東鎮東安里3鄰月眉路810號,329067.59,2729797.97
鎮海宮,宜蘭縣政府,五顯大帝,宜蘭縣,宜蘭縣頭城鎮,更新里,宜蘭縣頭城鎮更新里更新路188-2號,道教,宜蘭縣頭城鎮更新里8鄰更新路188之2號,336985.478,2755593.24
定安宮,宜蘭縣政府,五顯靈官大帝,宜蘭縣,宜蘭縣蘇澳鎮,存仁里,宜蘭縣蘇澳鎮存仁里存仁路199-1號,道教,宜蘭縣蘇澳鎮存仁里2鄰存仁路199之1號,335237.59,2724642.23
六桂堂,宜蘭縣政府,六桂宗祖,宜蘭縣,宜蘭縣三星鄉,尚武村,宜蘭縣三星鄉尚武村大德路2段71號,道教,宜蘭縣三星鄉尚武村4鄰大德路二段71號,322725.289,2732109.069
定安宮,宜蘭縣政府,天上聖母,宜蘭縣,宜蘭縣冬山鄉,冬山村,宜蘭縣冬山鄉冬山村冬山路305號,道教,宜蘭縣冬山鄉冬山村5鄰冬山路305號,329901.95,2725571.77
鹿安宮,宜蘭縣政府,天上聖母,宜蘭縣,宜蘭縣冬山鄉,鹿埔村,宜蘭縣冬山鄉鹿埔村永興路二段412巷19號,道教,宜蘭縣冬山鄉鹿埔村13鄰永興路二段412巷19號,326297.76,2728548.649
順安宮,宜蘭縣政府,天上聖母,宜蘭縣,宜蘭縣五結鄉,大吉村,宜蘭縣五結鄉大吉村大吉5路181巷12號,道教,宜蘭縣五結鄉大吉村13鄰大吉五路181巷12號,331047.75,2733128.85
聖安宮,宜蘭縣政府,天上聖母,宜蘭縣,宜蘭縣羅東鎮,99,宜蘭縣羅東鎮忠孝路48號,道教,宜蘭縣羅東鎮漢民里5鄰忠孝路48號,327410.26,2730108.1
宜蘭梅洲慈航宮,宜蘭縣政府,天上聖母,宜蘭縣,宜蘭縣宜蘭市,99,宜蘭縣宜蘭市金同春路67號,道教,宜蘭縣宜蘭市梅洲里3鄰金同春路67號,325303.549,2739812.98
利澤簡永安宮,宜蘭縣政府,天上聖母,宜蘭縣,宜蘭縣五結鄉,利澤村,宜蘭縣五結鄉利澤村利澤路26號,道教,宜蘭縣五結鄉利澤村16鄰利澤路26號,333301.08,2729122.892
玉鼎慈天宮,宜蘭縣政府,天上聖母,宜蘭縣,宜蘭縣礁溪鄉,玉田村,宜蘭縣礁溪鄉玉田村玉龍路一段477號,道教,宜蘭縣礁溪鄉玉田村20鄰玉龍路一段477號,329482.141,2743613.169
