,names,country,town,village,y_bar,x_bar,cof1,cof2,Nb,Nr,Nt
57,鄭佳鈴,南投縣,國姓鄉,國姓村,4,9,5.320652174,-0.1467,20,36.2689,20
58,鄭佳鈴,南投縣,國姓鄉,福龜村,3.2,8.6,6.417785235,-0.3742,16,17.1507,16
59,鄭佳鈴,南投縣,鹿谷鄉,和雅村,2.2,4.6,2.536585366,-0.0732,11,34.6528,11
60,鄭佳鈴,南投縣,鹿谷鄉,清水村,4.8,12.8,9.216642755,-0.3451,24,26.7072,24
61,鄭佳鈴,南投縣,鹿谷鄉,瑞田村,9.8,27.8,19.79646406,-0.3596,49,55.0513,49
62,鄭佳鈴,南投縣,鹿谷鄉,彰雅村,6.8,18,12.34545455,-0.3081,34,40.0696,34
63,鄭佳鈴,南投縣,集集鎮,田寮里,3.4,8,5.282352941,-0.2353,17,22.4494,17
64,鄭佳鈴,南投縣,集集鎮,吳厝里,6,13.6,8.391559203,-0.1758,30,47.7336,30
65,鄭佳鈴,南投縣,集集鎮,廣明里,10.2,25.6,16.30984695,-0.2387,51,68.3278,51
66,古庭瑜,屏東縣,內埔鄉,上樹村,5,10.8,6.312306101,-0.1215,25,51.9531,25
67,古庭瑜,屏東縣,內埔鄉,建興村,12.5,40.5,20.58592878,-0.1997,75,103.0843,75
68,郭儀芊,屏東縣,內埔鄉,美和村,5.2,13.2,9.31147541,-0.3115,26,29.8924,26
69,郭儀芊,屏東縣,內埔鄉,富田村,7.4,19.8,12.45699162,-0.2554,37,48.7744,37
70,郭儀芊,屏東縣,內埔鄉,義亭村,2.8,8.6,7.916666667,-0.595,67,13.3053,14
71,郭儀芊,屏東縣,內埔鄉,興南村,6.4,17.6,11.34968625,-0.2812,32,40.3616,32
72,郭儀芊,屏東縣,車城鄉,後灣村,5.6,16,12.8,-0.45,27.9091,28.4444,28
73,郭儀芊,屏東縣,車城鄉,射寮村,5.6,12.2,6.658475426,-0.0868,36.5789,76.7105,28
74,古庭瑜,屏東縣,車城鄉,新街村,1.8,5,3.8,-0.4,7.6667,9.5,9
75,古庭瑜,屏東縣,東港鎮,東隆里,2.2,5,2.889655172,-0.1379,11,20.9547,11
76,古庭瑜,屏東縣,東港鎮,興和里,3,7.4,4.688212928,-0.2281,15,20.5533,15
77,郭儀芊,屏東縣,枋寮鄉,內寮村,9.8,27,18.84147465,-0.3349,49.9333,56.26,49
78,古庭瑜,屏東縣,枋寮鄉,安樂村,7,15.8,8.998054475,-0.1265,67.7778,71.1309,35
79,郭儀芊,屏東縣,枋寮鄉,枋寮村,10.6,27,17.12624309,-0.2417,60.4516,70.8574,53
80,郭儀芊,屏東縣,枋寮鄉,隆山村,17,53.33333333,28.9975241,-0.225,102,128.8779,102
81,古庭瑜,屏東縣,林邊鄉,水利村,4.4,12.4,8.769774011,-0.3524,23.3846,24.8859,22
82,郭儀芊,屏東縣,林邊鄉,竹林村,6.8,15.4,9.770344288,-0.1929,34,50.6498,34
83,郭儀芊,屏東縣,林邊鄉,鎮安村,7.666666667,23.5,11.40688787,-0.1592,73.3,71.6513,46
84,郭儀芊,屏東縣,屏東市,一心里,0,0,0,NA,0,0,0
85,郭儀芊,屏東縣,屏東市,大洲里,3.6,8.4,5.154411765,-0.185,18,27.8617,18
86,郭儀芊,屏東縣,屏東市,永昌里,1,3.2,2.945945946,-0.6081,5,4.8445,5
87,郭儀芊,屏東縣,屏東市,玉成里,0.8,2.6,2.891304348,-0.8043,4,3.5948,4
88,郭儀芊,屏東縣,屏東市,和興里,1.6,3.6,2.120481928,-0.1446,27,14.6645,8
89,郭儀芊,屏東縣,屏東市,信和里,8,20.2,13.50818047,-0.2727,40,49.5349,40
90,郭儀芊,屏東縣,屏東市,崇蘭里,2.8,5.8,4.299771167,-0.2586,14,16.6271,14
91,郭儀芊,屏東縣,屏東市,勝利里,1.6,5.6,5.044247788,-0.615,8,8.202,8
92,郭儀芊,屏東縣,屏東市,萬年里,0.8,2,1.2,-0.2,9,6,4
93,古庭瑜,屏東縣,屏東市,橋南里,4.6,12.6,9.692421991,-0.4042,99,23.9793,23
94,郭儀芊,屏東縣,屏東市,豐田里,1.8,4.8,3.256410256,-0.3034,9,10.7331,9
95,古庭瑜,屏東縣,屏東市,豐榮里,2.6,5.2,3.151515152,-0.1061,13,29.7033,13
96,郭儀芊,屏東縣,萬巒鄉,五溝村,3.6,10,6.832323232,-0.3232,17.4583,21.1396,18
97,郭儀芊,屏東縣,萬巒鄉,佳佐村,11.8,28.6,17.27521056,-0.1914,68.8333,90.2571,59
98,郭儀芊,屏東縣,萬巒鄉,泗溝村,5.4,15,11.11917808,-0.3813,29.04,29.1612,27
99,古庭瑜,屏東縣,萬巒鄉,鹿寮村,5,11.6,7.02526003,-0.1746,32,40.2363,25
100,古庭瑜,屏東縣,潮州鎮,光華里,2.6,6.6,5.398734177,-0.4241,13,12.7299,13
101,林育瑩,苗栗縣,三義鄉,西湖村,3.8,9.8,6.558352403,-0.2815,19,23.2979,19
102,林育瑩,苗栗縣,三義鄉,勝興村,3.6,7.2,4.486646884,-0.1231,18,36.4472,18
103,林育瑩,苗栗縣,大湖鄉,南湖村,0.4,0.8,1,-0.75,2,1.3333,2
104,林育瑩,苗栗縣,大湖鄉,栗林村,0.6,1.8,1.875,-0.7083,3,2.6472,3
105,林育瑩,苗栗縣,大湖鄉,靜湖村,0.6,1.8,1.235294118,-0.3529,2.3333,3.5004,3
106,林育瑩,苗栗縣,西湖鄉,二湖村,2.2,4.8,2.643312102,-0.0924,11,28.6073,11
107,林育瑩,苗栗縣,西湖鄉,湖東村,4.6,10,5.70619469,-0.1106,23,51.5931,23
108,林育瑩,苗栗縣,苑裡鎮,苑東里,3,7.4,4.688212928,-0.2281,15,20.5533,15
109,林育瑩,苗栗縣,苑裡鎮,苑南里,1.6,3.2,1.87012987,-0.0844,8,22.1579,8
110,林育瑩,苗栗縣,通霄鎮,內島里,1.2,2.6,1.441860465,-0.093,18,15.5039,6
111,林育瑩,苗栗縣,通霄鎮,坪頂里,1.833333333,5.333333333,2.614285714,-0.1464,11,17.8571,11
112,林育瑩,苗栗縣,通霄鎮,南和里,1.8,4,2.495652174,-0.1739,9,14.3511,9
113,林育瑩,苗栗縣,通霄鎮,福興里,3.2,9.2,6.872159091,-0.3991,16,17.2191,16
114,林育瑩,苗栗縣,頭份市,斗煥里,0.8,2.6,2.891304348,-0.8043,4,3.5948,4
115,林育瑩,苗栗縣,頭份市,民族里,0,0,0,NA,0,0,0
116,林育瑩,苗栗縣,頭份市,民權里,0.4,1.6,2,-1,2,2,2
117,林育瑩,苗栗縣,頭份市,和平里,0.4,1.6,2,-1,2,2,2
118,林育瑩,苗栗縣,頭份市,珊湖里,1.2,3.4,3.75,-0.75,5.1818,5,6
119,林育瑩,苗栗縣,頭份市,新華里,1.4,3.8,3,-0.4211,14,7.1242,7
