欄1,學校名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
1045,嶺東科技大學,N 修,B 四技,2788,"1,495",1293,441,356,342,317,308,260,296,265,0,0,0,0,0,0,108,95,19 臺中市,2 技職
1046,中國科技大學,D 日,M 碩士,151,86,65,37,31,30,25,11,7,8,2,0,0,0,0,0,0,0,0,30 臺北市,2 技職
1046,中國科技大學,D 日,B 四技,6374,"2,918",3456,573,715,797,892,685,864,679,824,0,0,0,0,0,0,184,161,30 臺北市,2 技職
1046,中國科技大學,N 職,M 碩士,77,55,22,35,10,16,12,3,0,1,0,0,0,0,0,0,0,0,0,30 臺北市,2 技職
1046,中國科技大學,N 修,B 四技,1278,738,540,209,144,180,119,131,100,146,117,0,0,0,0,0,0,72,60,30 臺北市,2 技職
1046,中國科技大學,N 修,C 二技,460,270,190,0,0,0,0,249,190,17,0,0,0,0,0,0,0,4,0,30 臺北市,2 技職
1046,中國科技大學,N 修,X 4+X,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,30 臺北市,2 技職
1046,中國科技大學,N 修,2 二專,473,238,235,110,125,108,96,0,0,0,0,0,0,0,0,0,0,20,14,30 臺北市,2 技職
1047,中臺科技大學,D 日,D 博士,15,11,4,1,0,1,1,2,1,2,1,0,0,2,0,3,1,0,0,19 臺中市,2 技職
1047,中臺科技大學,D 日,M 碩士,124,34,90,16,34,13,31,4,12,1,8,0,5,0,0,0,0,0,0,19 臺中市,2 技職
1047,中臺科技大學,D 日,B 四技,4638,"1,935",2703,420,530,476,708,471,695,396,631,0,0,0,0,0,0,172,139,19 臺中市,2 技職
1047,中臺科技大學,D 日,C 二技,529,83,446,0,0,0,0,45,234,38,210,0,0,0,0,0,0,0,2,19 臺中市,2 技職
1047,中臺科技大學,D 日,2 二專,18,8,10,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,19 臺中市,2 技職
1047,中臺科技大學,N 職,M 碩士,246,50,196,17,79,19,57,11,37,3,23,0,0,0,0,0,0,0,0,19 臺中市,2 技職
1047,中臺科技大學,N 修,B 四技,1596,573,1023,162,279,138,236,113,214,99,187,9,51,0,0,0,0,52,56,19 臺中市,2 技職
1047,中臺科技大學,N 修,C 二技,1004,115,889,0,0,0,0,59,382,30,308,23,191,0,0,0,0,3,8,19 臺中市,2 技職
1048,亞洲大學,D 日,D 博士,243,153,90,30,18,33,17,32,22,18,9,23,11,7,6,10,7,0,0,06 臺中市,1 一般
1048,亞洲大學,D 日,M 碩士,629,287,342,130,125,95,107,34,61,28,49,0,0,0,0,0,0,0,0,06 臺中市,1 一般
1048,亞洲大學,D 日,B 學士,9388,"3,314",6074,821,"1,534",773,"1,482",793,"1,474",774,"1,460",0,0,0,0,0,0,153,124,06 臺中市,1 一般
1048,亞洲大學,N 職,M 碩士,387,194,193,111,110,61,48,16,28,6,7,0,0,0,0,0,0,0,0,06 臺中市,1 一般
1048,亞洲大學,P 進,B 學士,774,374,400,96,102,61,88,86,109,68,70,0,0,0,0,0,0,63,31,06 臺中市,1 一般
1049,開南大學,D 日,M 碩士,222,84,138,35,59,20,45,12,17,16,16,1,1,0,0,0,0,0,0,03 桃園市,1 一般
1049,開南大學,D 日,B 學士,4032,"1,971",2061,491,478,409,475,442,489,434,455,0,0,0,0,0,0,195,164,03 桃園市,1 一般
1049,開南大學,N 職,M 碩士,333,196,137,100,83,51,26,19,14,12,5,8,3,6,6,0,0,0,0,03 桃園市,1 一般
1049,開南大學,P 進,B 學士,1000,562,438,145,114,150,106,125,103,120,93,0,0,0,0,0,0,22,22,03 桃園市,1 一般
1050,佛光大學,D 日,D 博士,62,23,39,4,8,4,5,3,12,3,3,1,6,4,3,4,2,0,0,02 宜蘭縣,1 一般
1050,佛光大學,D 日,M 碩士,449,175,274,80,111,40,72,24,39,30,50,0,1,1,0,0,1,0,0,02 宜蘭縣,1 一般
1050,佛光大學,D 日,B 學士,2825,"1,310",1515,357,389,294,380,280,359,284,323,0,0,0,0,0,0,95,64,02 宜蘭縣,1 一般
1050,佛光大學,N 職,M 碩士,122,60,62,25,38,9,13,5,6,10,2,11,3,0,0,0,0,0,0,02 宜蘭縣,1 一般
1051,台南應用科技大學,D 日,M 碩士,96,34,62,11,23,13,15,5,19,5,5,0,0,0,0,0,0,0,0,11 臺南市,2 技職
1051,台南應用科技大學,D 日,B 四技,7914,"2,379",5535,542,"1,353",659,"1,430",547,"1,339",527,"1,318",0,0,0,0,0,0,104,95,11 臺南市,2 技職
1051,台南應用科技大學,D 日,C 二技,480,80,400,0,0,0,0,40,183,31,193,0,0,0,0,0,0,9,24,11 臺南市,2 技職
1051,台南應用科技大學,D 日,5 五專,1002,230,772,37,127,55,143,49,167,49,167,40,168,0,0,0,0,0,0,11 臺南市,2 技職
1051,台南應用科技大學,N 職,M 碩士,105,31,74,14,21,7,28,5,12,4,10,1,3,0,0,0,0,0,0,11 臺南市,2 技職
1051,台南應用科技大學,N 修,B 四技,2497,943,1554,263,422,240,404,222,362,164,317,0,0,0,0,0,0,54,49,11 臺南市,2 技職
1051,台南應用科技大學,N 修,C 二技,269,45,224,0,0,0,0,23,109,19,99,0,8,0,0,0,0,3,8,11 臺南市,2 技職
1052,遠東科技大學,D 日,M 碩士,274,154,120,74,77,58,34,14,7,8,2,0,0,0,0,0,0,0,0,11 臺南市,2 技職
1052,遠東科技大學,D 日,B 四技,3142,"2,166",976,396,149,472,208,562,283,552,248,0,0,0,0,0,0,184,88,11 臺南市,2 技職
1052,遠東科技大學,N 職,M 碩士,43,42,1,13,1,12,0,10,0,4,0,1,0,2,0,0,0,0,0,11 臺南市,2 技職
1052,遠東科技大學,N 修,B 四技,621,471,150,101,29,116,31,111,41,105,40,0,0,0,0,0,0,38,9,11 臺南市,2 技職
1052,遠東科技大學,N 修,C 二技,381,268,113,0,0,0,0,100,57,161,54,0,0,0,0,0,0,7,2,11 臺南市,2 技職
1052,遠東科技大學,N 修,2 二專,263,160,103,79,44,76,58,0,0,0,0,0,0,0,0,0,0,5,1,11 臺南市,2 技職
1053,元培醫事科技大學,D 日,D 博士,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18 新竹市,2 技職
1053,元培醫事科技大學,D 日,M 碩士,270,128,142,49,54,51,53,16,20,12,15,0,0,0,0,0,0,0,0,18 新竹市,2 技職
1053,元培醫事科技大學,D 日,B 四技,3673,"1,641",2032,331,467,419,538,386,526,349,416,0,0,0,0,0,0,156,85,18 新竹市,2 技職
1053,元培醫事科技大學,D 日,C 二技,100,5,95,0,0,0,0,3,48,2,47,0,0,0,0,0,0,0,0,18 新竹市,2 技職
1053,元培醫事科技大學,N 職,M 碩士,44,10,34,4,13,4,12,0,5,2,4,0,0,0,0,0,0,0,0,18 新竹市,2 技職
1053,元培醫事科技大學,N 修,B 四技,1570,828,742,242,225,244,183,191,180,116,131,0,0,0,0,0,0,35,23,18 新竹市,2 技職
1053,元培醫事科技大學,N 修,C 二技,521,106,415,0,0,0,0,40,90,60,322,0,0,0,0,0,0,6,3,18 新竹市,2 技職
1053,元培醫事科技大學,N 修,2 二專,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,18 新竹市,2 技職
1054,景文科技大學,D 日,M 碩士,41,28,13,9,5,11,4,6,4,2,0,0,0,0,0,0,0,0,0,01 新北市,2 技職
1054,景文科技大學,D 日,B 四技,5054,"2,284",2770,436,549,580,828,539,669,527,582,0,0,0,0,0,0,202,142,01 新北市,2 技職
1054,景文科技大學,D 日,C 二技,4,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,01 新北市,2 技職
1054,景文科技大學,N 職,M 碩士,45,27,18,6,4,12,12,6,0,3,2,0,0,0,0,0,0,0,0,01 新北市,2 技職
1054,景文科技大學,N 修,B 四技,1050,541,509,160,122,110,95,111,111,133,162,0,0,0,0,0,0,27,19,01 新北市,2 技職
1054,景文科技大學,N 修,C 二技,308,138,170,0,0,0,0,50,83,88,85,0,0,0,0,0,0,0,2,01 新北市,2 技職
1054,景文科技大學,N 修,2 二專,154,88,66,46,26,36,39,0,0,0,0,0,0,0,0,0,0,6,1,01 新北市,2 技職
1055,中華醫事科技大學,D 日,M 碩士,88,43,45,20,23,19,15,3,6,1,1,0,0,0,0,0,0,0,0,11 臺南市,2 技職
1055,中華醫事科技大學,D 日,B 四技,3296,"1,248",2048,223,393,241,511,382,597,332,500,0,0,0,0,0,0,70,47,11 臺南市,2 技職
1055,中華醫事科技大學,D 日,C 二技,770,196,574,0,0,0,0,107,316,87,254,0,0,0,0,0,0,2,4,11 臺南市,2 技職
1055,中華醫事科技大學,D 日,2 二專,39,19,20,0,0,18,20,0,0,0,0,0,0,0,0,0,0,1,0,11 臺南市,2 技職
1055,中華醫事科技大學,D 日,5 五專,3155,696,2459,159,549,143,496,144,473,124,492,115,410,0,0,0,0,11,39,11 臺南市,2 技職
1055,中華醫事科技大學,N 職,M 碩士,27,12,15,8,8,4,6,0,1,0,0,0,0,0,0,0,0,0,0,11 臺南市,2 技職
1055,中華醫事科技大學,N 修,B 四技,626,261,365,76,112,65,87,52,76,45,66,0,0,0,0,0,0,23,24,11 臺南市,2 技職
1055,中華醫事科技大學,N 修,C 二技,683,194,489,0,0,0,0,113,270,74,208,0,0,0,0,0,0,7,11,11 臺南市,2 技職
1055,中華醫事科技大學,N 修,2 二專,40,21,19,21,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11 臺南市,2 技職
1056,東南科技大學,D 日,M 碩士,126,89,37,37,15,39,18,12,4,1,0,0,0,0,0,0,0,0,0,01 新北市,2 技職
1056,東南科技大學,D 日,B 四技,4392,"2,904",1488,616,352,760,383,756,374,605,293,0,0,0,0,0,0,167,86,01 新北市,2 技職
1056,東南科技大學,N 職,M 碩士,46,37,9,19,4,16,4,2,1,0,0,0,0,0,0,0,0,0,0,01 新北市,2 技職
1056,東南科技大學,N 修,B 四技,604,463,141,99,38,129,42,133,42,87,16,0,0,0,0,0,0,15,3,01 新北市,2 技職
1057,德明財經科技大學,D 日,M 碩士,32,16,16,2,6,6,4,5,6,3,0,0,0,0,0,0,0,0,0,30 臺北市,2 技職
1057,德明財經科技大學,D 日,B 四技,6598,"2,788",3810,622,812,712,"1,005",693,985,516,798,0,0,0,0,0,0,245,210,30 臺北市,2 技職
1057,德明財經科技大學,D 日,C 二技,112,27,85,0,0,0,0,9,43,18,39,0,0,0,0,0,0,0,3,30 臺北市,2 技職
1057,德明財經科技大學,N 職,M 碩士,39,21,18,7,5,4,8,2,0,3,5,4,0,1,0,0,0,0,0,30 臺北市,2 技職
1057,德明財經科技大學,N 修,B 四技,500,281,219,54,37,55,53,55,43,81,57,0,0,0,0,0,0,36,29,30 臺北市,2 技職
1057,德明財經科技大學,N 修,C 二技,103,48,55,0,0,0,0,27,27,21,28,0,0,0,0,0,0,0,0,30 臺北市,2 技職
1058,明道大學,D 日,D 博士,28,16,12,1,4,6,1,4,3,2,2,1,1,2,1,0,0,0,0,07 彰化縣,1 一般
1058,明道大學,D 日,M 碩士,148,79,69,39,25,20,19,13,14,7,11,0,0,0,0,0,0,0,0,07 彰化縣,1 一般
1058,明道大學,D 日,B 學士,1727,"1,002",725,139,127,244,189,308,193,254,194,0,0,0,0,0,0,57,22,07 彰化縣,1 一般
1058,明道大學,N 職,M 碩士,66,32,34,23,15,7,15,1,1,1,3,0,0,0,0,0,0,0,0,07 彰化縣,1 一般
1058,明道大學,P 進,B 學士,556,371,185,77,23,72,41,95,57,114,59,0,0,0,0,0,0,13,5,07 彰化縣,1 一般
1060,南開科技大學,D 日,M 碩士,84,40,44,16,17,15,22,4,4,5,1,0,0,0,0,0,0,0,0,08 南投縣,2 技職
1060,南開科技大學,D 日,B 四技,2121,"1,428",693,268,103,292,169,384,207,393,190,0,0,0,0,0,0,91,24,08 南投縣,2 技職
1060,南開科技大學,D 日,5 五專,545,455,90,64,7,64,16,87,20,104,19,121,26,0,0,0,0,15,2,08 南投縣,2 技職
1060,南開科技大學,N 職,M 碩士,73,29,44,12,19,13,20,2,2,2,3,0,0,0,0,0,0,0,0,08 南投縣,2 技職
1060,南開科技大學,N 修,B 四技,677,460,217,104,44,107,53,114,56,108,53,0,0,0,0,0,0,27,11,08 南投縣,2 技職
1060,南開科技大學,N 修,C 二技,161,78,83,0,0,0,0,35,53,41,30,0,0,0,0,0,0,2,0,08 南投縣,2 技職
1060,南開科技大學,N 修,2 二專,94,55,39,25,19,28,18,0,0,0,0,0,0,0,0,0,0,2,2,08 南投縣,2 技職
1061,中華科技大學,D 日,M 碩士,226,171,55,74,33,88,13,6,3,3,6,0,0,0,0,0,0,0,0,30 臺北市,2 技職
1061,中華科技大學,D 日,B 四技,3218,"2,249",969,450,180,566,243,533,243,514,242,0,0,0,0,0,0,186,61,30 臺北市,2 技職
1061,中華科技大學,D 日,C 二技,35,6,29,0,0,0,0,3,24,3,5,0,0,0,0,0,0,0,0,30 臺北市,2 技職
1061,中華科技大學,N 職,M 碩士,126,107,19,62,9,40,8,2,1,3,0,0,1,0,0,0,0,0,0,30 臺北市,2 技職
1061,中華科技大學,N 修,B 四技,711,589,122,167,43,139,29,131,21,122,25,0,0,0,0,0,0,30,4,30 臺北市,2 技職
1061,中華科技大學,N 修,C 二技,301,160,141,0,0,0,0,100,96,57,44,0,0,0,0,0,0,3,1,30 臺北市,2 技職
1061,中華科技大學,N 修,2 二專,156,84,72,38,28,36,42,0,0,0,0,0,0,0,0,0,0,10,2,30 臺北市,2 技職
1062,僑光科技大學,D 日,M 碩士,45,21,24,6,9,13,12,2,3,0,0,0,0,0,0,0,0,0,0,19 臺中市,2 技職
1062,僑光科技大學,D 日,B 四技,6247,"2,603",3644,615,806,624,918,631,964,656,901,0,0,0,0,0,0,77,55,19 臺中市,2 技職
1062,僑光科技大學,N 職,M 碩士,20,12,8,0,0,10,6,1,2,1,0,0,0,0,0,0,0,0,0,19 臺中市,2 技職
1062,僑光科技大學,N 修,B 四技,4295,"2,445",1850,653,434,528,421,556,439,574,461,0,0,0,0,0,0,134,95,19 臺中市,2 技職
1062,僑光科技大學,N 修,X 4+X,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,19 臺中市,2 技職
1063,育達科技大學,D 日,M 碩士,153,78,75,34,28,17,12,16,16,11,19,0,0,0,0,0,0,0,0,05 苗栗縣,2 技職
1063,育達科技大學,D 日,B 四技,1710,856,854,143,163,224,159,227,283,174,204,0,0,0,0,0,0,88,45,05 苗栗縣,2 技職
1063,育達科技大學,N 職,M 碩士,220,139,81,54,37,56,29,20,12,9,3,0,0,0,0,0,0,0,0,05 苗栗縣,2 技職
1063,育達科技大學,N 修,B 四技,950,568,382,135,91,160,94,113,87,123,92,0,0,0,0,0,0,37,18,05 苗栗縣,2 技職
1063,育達科技大學,N 修,C 二技,929,285,644,0,0,0,0,166,329,112,290,0,0,0,0,0,0,7,25,05 苗栗縣,2 技職
1064,美和科技大學,D 日,M 碩士,116,45,71,24,35,17,23,3,11,1,2,0,0,0,0,0,0,0,0,13 屏東縣,2 技職
1064,美和科技大學,D 日,B 四技,2293,960,1333,169,238,245,335,242,348,269,381,0,0,0,0,0,0,35,31,13 屏東縣,2 技職
1064,美和科技大學,D 日,C 二技,287,33,254,0,0,0,0,13,98,19,153,0,0,0,0,0,0,1,3,13 屏東縣,2 技職
1064,美和科技大學,D 日,5 五專,1789,242,1547,39,297,58,287,41,292,38,300,59,317,0,0,0,0,7,54,13 屏東縣,2 技職
1064,美和科技大學,N 職,M 碩士,198,41,157,15,46,14,89,9,16,3,6,0,0,0,0,0,0,0,0,13 屏東縣,2 技職
1064,美和科技大學,N 修,B 四技,634,227,407,61,118,42,71,68,101,44,104,0,0,0,0,0,0,12,13,13 屏東縣,2 技職
1064,美和科技大學,N 修,C 二技,849,188,661,0,0,0,0,147,392,39,256,0,0,0,0,0,0,2,13,13 屏東縣,2 技職
1064,美和科技大學,N 修,2 二專,134,75,59,44,39,19,18,0,0,0,0,0,0,0,0,0,0,12,2,13 屏東縣,2 技職
1065,吳鳳科技大學,D 日,M 碩士,49,32,17,13,10,16,3,3,2,0,2,0,0,0,0,0,0,0,0,10 嘉義縣,2 技職
1065,吳鳳科技大學,D 日,B 四技,3179,"2,178",1001,432,252,613,275,582,233,456,207,0,0,0,0,0,0,95,34,10 嘉義縣,2 技職
1065,吳鳳科技大學,N 職,M 碩士,59,35,24,21,12,12,12,1,0,0,0,0,0,1,0,0,0,0,0,10 嘉義縣,2 技職
1065,吳鳳科技大學,N 修,B 四技,809,593,216,147,60,147,45,140,64,141,45,0,0,0,0,0,0,18,2,10 嘉義縣,2 技職
1065,吳鳳科技大學,N 修,C 二技,733,357,376,0,0,0,0,221,189,136,186,0,0,0,0,0,0,0,1,10 嘉義縣,2 技職
1065,吳鳳科技大學,N 修,2 二專,229,129,100,70,51,59,48,0,0,0,0,0,0,0,0,0,0,0,1,10 嘉義縣,2 技職
1066,環球科技大學,D 日,M 碩士,171,79,92,38,33,19,40,15,14,7,5,0,0,0,0,0,0,0,0,09 雲林縣,2 技職
1066,環球科技大學,D 日,B 四技,2241,"1,076",1165,179,211,256,304,262,295,291,277,0,0,0,0,0,0,88,78,09 雲林縣,2 技職
1066,環球科技大學,N 職,M 碩士,69,26,43,14,16,8,18,3,4,1,3,0,2,0,0,0,0,0,0,09 雲林縣,2 技職
1066,環球科技大學,N 修,B 四技,614,318,296,88,64,78,60,75,83,57,76,0,0,0,0,0,0,20,13,09 雲林縣,2 技職
1066,環球科技大學,N 修,C 二技,354,154,200,0,0,0,0,96,109,57,91,0,0,0,0,0,0,1,0,09 雲林縣,2 技職
1066,環球科技大學,N 修,2 二專,224,110,114,49,28,56,84,0,0,0,0,0,0,0,0,0,0,5,2,09 雲林縣,2 技職
1067,台灣首府大學,D 日,M 碩士,48,15,33,4,21,9,8,2,4,0,0,0,0,0,0,0,0,0,0,11 臺南市,1 一般
1067,台灣首府大學,D 日,B 學士,870,415,455,43,58,84,101,130,131,124,145,0,0,0,0,0,0,34,20,11 臺南市,1 一般
1067,台灣首府大學,P 進,B 學士,212,139,73,19,14,22,16,43,20,39,14,0,0,0,0,0,0,16,9,11 臺南市,1 一般
1068,中州科技大學,D 日,M 碩士,11,7,4,0,0,4,4,1,0,2,0,0,0,0,0,0,0,0,0,07 彰化縣,2 技職
1068,中州科技大學,D 日,B 四技,926,560,366,67,25,123,84,129,97,205,137,0,0,0,0,0,0,36,23,07 彰化縣,2 技職
1068,中州科技大學,N 職,M 碩士,21,12,9,0,0,8,8,4,1,0,0,0,0,0,0,0,0,0,0,07 彰化縣,2 技職
1068,中州科技大學,N 修,B 四技,792,567,225,162,53,85,39,131,51,176,74,0,0,0,0,0,0,13,8,07 彰化縣,2 技職
1068,中州科技大學,N 修,C 二技,808,214,594,0,0,0,0,131,325,82,266,0,0,0,0,0,0,1,3,07 彰化縣,2 技職
1068,中州科技大學,N 修,2 二專,110,15,95,9,41,6,50,0,0,0,0,0,0,0,0,0,0,0,4,07 彰化縣,2 技職
1069,修平科技大學,D 日,M 碩士,62,40,22,21,11,14,10,5,0,0,1,0,0,0,0,0,0,0,0,06 臺中市,2 技職
1069,修平科技大學,D 日,B 四技,2970,"2,130",840,504,189,562,214,551,205,394,177,0,0,0,0,0,0,119,55,06 臺中市,2 技職
1069,修平科技大學,N 職,M 碩士,19,16,3,13,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,06 臺中市,2 技職
1069,修平科技大學,N 修,B 四技,1393,"1,251",142,405,51,292,27,330,28,183,29,0,0,0,0,0,0,41,7,06 臺中市,2 技職
1069,修平科技大學,N 修,2 二專,25,15,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,5,0,06 臺中市,2 技職
1070,長庚科技大學,D 日,M 碩士,68,3,65,2,27,1,22,0,13,0,1,0,1,0,1,0,0,0,0,03 桃園市,2 技職
1070,長庚科技大學,D 日,B 四技,3498,450,3048,114,758,106,775,121,752,103,753,0,0,0,0,0,0,6,10,03 桃園市,2 技職
1070,長庚科技大學,D 日,C 二技,1458,105,1353,0,0,0,0,52,704,53,642,0,0,0,0,0,0,0,7,03 桃園市,2 技職
1070,長庚科技大學,D 日,5 五專,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,03 桃園市,2 技職
1070,長庚科技大學,N 職,M 碩士,123,2,121,0,41,1,39,1,25,0,10,0,5,0,1,0,0,0,0,03 桃園市,2 技職
1070,長庚科技大學,N 修,C 二技,1179,85,1094,0,0,0,0,42,587,42,489,0,10,0,0,0,0,1,8,03 桃園市,2 技職
1071,臺北城市科技大學,D 日,M 碩士,89,73,16,29,8,26,4,15,3,3,1,0,0,0,0,0,0,0,0,30 臺北市,2 技職
1071,臺北城市科技大學,D 日,B 四技,7012,"4,372",2640,982,568,"1,061",704,"1,038",634,937,548,0,0,0,0,0,0,354,186,30 臺北市,2 技職
1071,臺北城市科技大學,D 日,C 二技,3,2,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,30 臺北市,2 技職
1071,臺北城市科技大學,D 日,5 五專,1056,719,337,116,58,130,78,125,81,124,53,195,65,0,0,0,0,29,2,30 臺北市,2 技職
1071,臺北城市科技大學,N 修,B 四技,771,597,174,219,77,146,40,99,29,100,26,0,0,0,0,0,0,33,2,30 臺北市,2 技職
1071,臺北城市科技大學,N 修,C 二技,509,263,246,0,0,0,0,139,116,120,124,0,0,0,0,0,0,4,6,30 臺北市,2 技職
1071,臺北城市科技大學,N 修,2 二專,418,192,226,84,113,100,103,0,0,0,0,0,0,0,0,0,0,8,10,30 臺北市,2 技職
1072,敏實科技大學,D 日,M 碩士,2,2,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,04 新竹縣,2 技職
1072,敏實科技大學,D 日,B 四技,282,196,86,65,3,10,6,25,19,64,32,0,0,0,0,0,0,32,26,04 新竹縣,2 技職
1072,敏實科技大學,D 日,C 二技,12,7,5,0,0,0,0,0,0,6,3,0,0,0,0,0,0,1,2,04 新竹縣,2 技職
1072,敏實科技大學,D 日,5 五專,272,144,128,9,14,14,20,20,16,55,35,36,35,0,0,0,0,10,8,04 新竹縣,2 技職
1072,敏實科技大學,N 修,B 四技,145,80,65,22,11,8,6,25,17,17,24,0,0,0,0,0,0,8,7,04 新竹縣,2 技職
1072,敏實科技大學,N 修,C 二技,58,58,,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,04 新竹縣,2 技職
1073,醒吾科技大學,D 日,M 碩士,57,25,32,8,16,11,10,6,6,0,0,0,0,0,0,0,0,0,0,01 新北市,2 技職
1073,醒吾科技大學,D 日,B 四技,5601,"2,503",3098,600,734,590,746,628,778,587,762,0,0,0,0,0,0,98,78,01 新北市,2 技職
1073,醒吾科技大學,D 日,C 二技,42,10,32,0,0,0,0,0,0,6,16,0,0,0,0,0,0,4,16,01 新北市,2 技職
1073,醒吾科技大學,D 日,5 五專,498,186,312,14,28,30,39,33,73,45,70,60,98,0,0,0,0,4,4,01 新北市,2 技職
1073,醒吾科技大學,N 職,M 碩士,96,58,38,27,15,11,12,13,7,3,4,4,0,0,0,0,0,0,0,01 新北市,2 技職
1073,醒吾科技大學,N 修,B 四技,927,409,518,160,115,67,77,78,174,74,128,0,0,0,0,0,0,30,24,01 新北市,2 技職
1073,醒吾科技大學,N 修,C 二技,504,208,296,0,0,0,0,99,141,90,136,0,0,0,0,0,0,19,19,01 新北市,2 技職
1073,醒吾科技大學,N 修,2 二專,218,100,118,48,61,41,50,0,0,0,0,0,0,0,0,0,0,11,7,01 新北市,2 技職
1075,文藻外語大學,D 日,M 碩士,197,50,147,18,53,15,35,6,38,11,21,0,0,0,0,0,0,0,0,50 高雄市,2 技職
1075,文藻外語大學,D 日,B 四技,5011,"1,379",3632,341,762,324,873,349,850,265,932,0,0,0,0,0,0,100,215,50 高雄市,2 技職
1075,文藻外語大學,D 日,C 二技,293,45,248,0,0,0,0,21,83,18,125,0,0,0,0,0,0,6,40,50 高雄市,2 技職
1075,文藻外語大學,D 日,5 五專,1607,269,1338,65,301,60,302,53,246,43,241,42,220,0,0,0,0,6,28,50 高雄市,2 技職
1075,文藻外語大學,N 職,M 碩士,50,12,38,5,12,2,9,2,8,0,6,3,3,0,0,0,0,0,0,50 高雄市,2 技職
1075,文藻外語大學,N 修,B 四技,1685,605,1080,163,243,153,257,142,226,93,194,0,0,0,0,0,0,54,160,50 高雄市,2 技職
1075,文藻外語大學,N 修,C 二技,169,43,126,0,0,0,0,26,60,14,51,0,0,0,0,0,0,3,15,50 高雄市,2 技職
1076,華夏科技大學,D 日,M 碩士,37,31,6,6,4,13,2,6,0,6,0,0,0,0,0,0,0,0,0,01 新北市,2 技職
1076,華夏科技大學,D 日,B 四技,1476,920,556,191,85,217,164,196,138,237,136,0,0,0,0,0,0,79,33,01 新北市,2 技職
1076,華夏科技大學,D 日,C 二技,75,66,9,0,0,0,0,29,6,35,2,0,0,0,0,0,0,2,1,01 新北市,2 技職
1076,華夏科技大學,D 日,5 五專,601,508,93,114,28,81,20,107,28,84,11,118,6,0,0,0,0,4,0,01 新北市,2 技職
1076,華夏科技大學,N 職,M 碩士,70,48,22,18,9,18,10,12,3,0,0,0,0,0,0,0,0,0,0,01 新北市,2 技職
1076,華夏科技大學,N 修,B 四技,870,472,398,125,73,116,125,93,86,110,100,0,0,0,0,0,0,28,14,01 新北市,2 技職
1076,華夏科技大學,N 修,C 二技,708,402,306,0,0,0,0,198,162,196,138,0,0,0,0,0,0,8,6,01 新北市,2 技職
1076,華夏科技大學,N 修,2 二專,206,96,110,47,51,40,53,0,0,0,0,0,0,0,0,0,0,9,6,01 新北市,2 技職
1077,慈濟科技大學,D 日,M 碩士,41,16,25,5,14,8,9,2,2,1,0,0,0,0,0,0,0,0,0,15 花蓮縣,2 技職
1077,慈濟科技大學,D 日,B 四技,1280,499,781,117,188,128,204,108,191,108,176,0,0,0,0,0,0,38,22,15 花蓮縣,2 技職
1077,慈濟科技大學,D 日,C 二技,276,28,248,0,0,0,0,12,123,16,124,0,0,0,0,0,0,0,1,15 花蓮縣,2 技職
1077,慈濟科技大學,D 日,2 二專,32,12,20,4,10,8,10,0,0,0,0,0,0,0,0,0,0,0,0,15 花蓮縣,2 技職
1077,慈濟科技大學,D 日,5 五專,1362,194,1168,48,262,38,237,41,211,38,206,27,221,0,0,0,0,2,31,15 花蓮縣,2 技職
1077,慈濟科技大學,N 修,C 二技,172,10,162,0,0,0,0,7,92,2,68,0,0,0,0,0,0,1,2,15 花蓮縣,2 技職
1078,致理科技大學,D 日,M 碩士,50,9,41,3,17,3,14,2,4,1,5,0,1,0,0,0,0,0,0,01 新北市,2 技職
1078,致理科技大學,D 日,B 四技,6384,"2,094",4290,568,"1,032",464,"1,076",469,"1,048",455,973,0,0,0,0,0,0,138,161,01 新北市,2 技職
1078,致理科技大學,D 日,C 二技,223,48,175,0,0,0,0,20,89,28,82,0,0,0,0,0,0,0,4,01 新北市,2 技職
1078,致理科技大學,D 日,5 五專,1580,334,1246,69,266,78,243,78,244,46,244,58,229,0,0,0,0,5,20,01 新北市,2 技職
1078,致理科技大學,N 職,M 碩士,44,14,30,4,9,4,11,4,5,1,0,1,5,0,0,0,0,0,0,01 新北市,2 技職
1078,致理科技大學,N 修,B 四技,3288,"1,336",1952,347,483,314,440,328,449,242,448,0,0,0,0,0,0,105,132,01 新北市,2 技職
