縣市代碼,縣市名稱,學校代碼,學校名稱,學程別,學程名稱,日夜別,日夜別名稱,一年級班級數,二年級班級數,三年級班級數,四年級班級數,一年級男學生數,一年級女學生數,二年級男學生數,二年級女學生數,三年級男學生數,三年級女學生數,四年級男學生數,四年級女學生數,延修生男學生數,延修生女學生數,學生數,上學年畢業生數男,上學年畢業生數女
50,高雄市,581301,私立復華高中,J,附設國中部,D,日間部,5,5,4,0,119,81,125,73,103,55,0,0,0,0,556,91,66
50,高雄市,581301,私立復華高中,B,專業群科,D,日間部,7,8,9,0,97,158,106,134,104,163,0,0,0,0,762,106,180
50,高雄市,581302,天主教道明中學,A,普通科,D,日間部,14,14,13,0,322,342,297,332,303,320,0,0,0,0,1916,306,297
50,高雄市,581302,天主教道明中學,J,附設國中部,D,日間部,11,12,10,0,226,198,208,209,199,175,0,0,0,0,1215,188,184
50,高雄市,581401,私立國際商工,C,進修部,N,夜間部,1,1,1,0,14,12,9,34,9,22,0,0,0,0,100,13,23
50,高雄市,581401,私立國際商工,B,專業群科,D,日間部,0,1,1,0,0,0,4,1,10,4,0,0,5,0,24,10,0
50,高雄市,581402,私立三信家商,C,進修部,N,夜間部,3,4,3,0,44,43,43,53,55,37,0,0,0,0,275,36,52
50,高雄市,581402,私立三信家商,U,實用技能學程,D,日間部,2,2,1,0,34,19,35,19,20,23,0,0,0,0,150,38,41
50,高雄市,581402,私立三信家商,B,專業群科,D,日間部,21,25,25,0,298,340,301,423,344,363,0,0,0,0,2069,240,343
50,高雄市,583301,市立中正高中,A,普通科,D,日間部,11,11,11,0,188,176,186,184,198,170,0,0,0,0,1102,172,197
50,高雄市,583301,市立中正高中,J,附設國中部,D,日間部,8,7,8,0,95,94,100,77,100,114,0,0,0,0,580,100,97
50,高雄市,593301,市立前鎮高中,A,普通科,D,日間部,15,15,15,0,229,263,256,250,244,284,0,0,0,0,1526,201,243
50,高雄市,593302,市立瑞祥高中,A,普通科,D,日間部,9,9,9,0,168,128,156,135,177,147,0,0,0,0,911,154,139
50,高雄市,593302,市立瑞祥高中,J,附設國中部,D,日間部,16,16,16,0,207,232,237,210,223,222,0,0,0,0,1331,241,233
50,高雄市,593401,市立中正高工,C,進修部,N,夜間部,2,3,3,0,22,3,23,5,25,4,0,0,0,0,82,27,2
50,高雄市,593401,市立中正高工,U,實用技能學程,N,夜間部,2,1,1,0,25,6,5,4,19,0,0,0,0,0,59,28,3
50,高雄市,593401,市立中正高工,A,普通科,D,日間部,1,1,1,0,7,6,9,9,13,8,0,0,0,0,52,12,7
50,高雄市,593401,市立中正高工,B,專業群科,D,日間部,19,19,19,0,539,66,531,80,491,74,0,0,0,0,1781,515,80
50,高雄市,610405,國立高餐大附屬餐旅中學,U,實用技能學程,D,日間部,1,1,1,0,12,16,8,21,7,23,0,0,2,1,89,3,19
50,高雄市,610405,國立高餐大附屬餐旅中學,J,附設國中部,D,日間部,3,3,3,0,39,51,40,50,28,62,0,0,0,0,270,30,58
50,高雄市,610405,國立高餐大附屬餐旅中學,B,專業群科,D,日間部,2,2,2,0,18,30,16,33,15,33,0,0,0,0,145,15,30
50,高雄市,611401,私立高鳳工家,C,進修部,N,夜間部,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6
50,高雄市,611401,私立高鳳工家,U,實用技能學程,N,夜間部,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9
50,高雄市,611401,私立高鳳工家,B,專業群科,D,日間部,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
50,高雄市,613301,市立小港高中,A,普通科,D,日間部,15,15,15,0,206,241,207,260,212,271,0,0,0,0,1397,203,238
71,金門縣,710301,國立金門高中,A,普通科,D,日間部,10,10,10,0,139,175,156,161,153,157,0,0,0,0,941,103,129
71,金門縣,710401,國立金門農工,C,進修部,N,夜間部,1,1,1,0,13,6,8,4,14,5,0,0,0,0,50,10,12
71,金門縣,710401,國立金門農工,B,專業群科,D,日間部,12,12,12,0,163,112,167,125,182,131,0,0,17,14,897,101,79
72,連江縣,720301,國立馬祖高中,O,綜合高中,D,日間部,4,4,4,0,36,36,41,24,54,46,0,0,0,0,237,44,37
