COUNTY_ID,COUNTY,TOWN_ID,TOWN,LINF01_T,LINF01_C1,LINF01_C2,LINF01_C3,LINF01_C4,LINF01_C5,LINF01_C6,LINF01_C7,LINF01_C8,LINF01_C9,LINF01_C10,LINF01_C11,LINF01_C12,LINF02_T,LINF02_C1,LINF02_C2,LINF02_C3,LINF02_C4,LINF02_C5,LINF02_C6,LINF02_C7,LINF02_C8,LINF02_C9,LINF02_C10,LINF02_C11,LINF02_C12,LINF03_T,LINF03_C1,LINF03_C2,LINF03_C3,LINF03_C4,LINF03_C5,LINF03_C6,LINF03_C7,LINF03_C8,LINF03_C9,LINF03_C10,LINF03_C11,LINF03_C12,LINF04_T,LINF04_C1,LINF04_C2,LINF04_C3,LINF04_C4,LINF04_C5,LINF04_C6,LINF04_C7,LINF04_C8,LINF04_C9,LINF04_C10,LINF04_C11,LINF04_C12,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位面積建物型態總計,不含車位面積公寓,不含車位面積透天厝,不含車位面積店面(店舖),不含車位面積辦公商業大樓,不含車位面積住宅大樓,不含車位面積華廈,不含車位面積套房,不含車位面積工廠,不含車位面積廠辦,不含車位面積農舍,不含車位面積倉庫,不含車位面積其他,不含車位中位數房價建物型態總計,不含車位中位數房價公寓,不含車位中位數房價透天厝,不含車位中位數房價店面(店舖),不含車位中位數房價辦公商業大樓,不含車位中位數房價住宅大樓,不含車位中位數房價華廈,不含車位中位數房價套房,不含車位中位數房價工廠,不含車位中位數房價廠辦,不含車位中位數房價農舍,不含車位中位數房價倉庫,不含車位中位數房價其他,含車位面積建物型態總計,含車位面積公寓,含車位面積透天厝,含車位面積店面(店舖),含車位面積辦公商業大樓,含車位面積住宅大樓,含車位面積華廈,含車位面積套房,含車位面積工廠,含車位面積廠辦,含車位面積農舍,含車位面積倉庫,含車位面積其他,含車位中位數房價建物型態總計,含車位中位數房價公寓,含車位中位數房價透天厝,含車位中位數房價店面(店舖),含車位中位數房價辦公商業大樓,含車位中位數房價住宅大樓,含車位中位數房價華廈,含車位中位數房價套房,含車位中位數房價工廠,含車位中位數房價廠辦,含車位中位數房價農舍,含車位中位數房價倉庫,含車位中位數房價其他,資料時間
65000,新北市,65000100,淡水區,29832.59,2298.8,778.6,0,0,22549.87,4172.0,33.32,0,0,0,0,0,6800000,4100000,6800000,0,0,7200000,6800000,2220000,0,0,0,0,0,22754.09,255.85,835.87,0,0,19655.57,1954.67,52.13,0,0,0,0,0,9525000,8050000,15150000,0,0,9500000,9625000,6125000,0,0,0,0,0,"109Y3S"
65000,新北市,65000110,汐止區,25425.16,3017.14,2830.68,0,0,15288.78,4265.8,0,0,0,0,0,22.76,9250000,7500000,13400000,0,0,9925000,9215000,0,0,0,0,0,7750000,16164.18,1495.66,145.77,0,0,12779.52,1670.58,0,0,0,0,0,72.65,13175000,13400000,20000000,0,0,13500000,9750000,0,0,0,0,0,14500000,"109Y3S"
65000,新北市,65000120,瑞芳區,1348.44,986.85,236.98,0,0,0,124.6,0,0,0,0,0,0,2600000,2550000,3500000,0,0,0,5311000,0,0,0,0,0,0,110.13,0,110.13,0,0,0,0,0,0,0,0,0,0,9225000,0,9225000,0,0,0,0,0,0,0,0,0,0,"109Y3S"
65000,新北市,65000130,土城區,21284.7,4628.71,1332.68,0,126.29,12645.31,2536.47,15.23,0,0,0,0,0,10100000,8100000,16450000,0,17550000,12000000,9880000,5500000,0,0,0,0,0,5095.66,96.9,0,0,0,3919.78,1078.98,0,0,0,0,0,0,13325000,15750000,0,0,0,13800000,11900000,0,0,0,0,0,0,"109Y3S"
65000,新北市,65000140,蘆洲區,12455.49,3951.21,60.51,0,0,5770.52,2660.34,12.91,0,0,0,0,0,10150000,8290000,12550000,0,0,11615000,12000000,6000000,0,0,0,0,0,6909.32,0,0,0,0,4775.3,2134.03,0,0,0,0,0,0,16840000,0,0,0,0,22000000,13250000,0,0,0,0,0,0,"109Y3S"
65000,新北市,65000150,五股區,10463.36,734.27,564.86,0,0,7567.78,1596.45,0,0,0,0,0,0,8270000,5000000,17900000,0,0,8575000,7325000,0,0,0,0,0,0,4239.94,0,174.55,0,0,2316.03,1749.35,0,0,0,0,0,0,10340000,0,22750000,0,0,10800000,9500000,0,0,0,0,0,0,"109Y3S"
65000,新北市,65000160,泰山區,5469.01,1297.04,346.3,0,0,1951.79,1873.88,0,0,0,0,0,0,8235000,5700000,16550000,0,0,11075000,8680000,0,0,0,0,0,0,2493.45,0,0,58.19,0,1623.61,811.64,0,0,0,0,0,0,12450000,0,0,21900000,0,12450000,12000000,0,0,0,0,0,0,"109Y3S"
65000,新北市,65000170,林口區,26070.93,845.41,1120.63,0,0,21236.63,2868.26,0,0,0,0,0,0,12060000,4700000,18800000,0,0,13435000,8300000,0,0,0,0,0,0,26350.04,142.93,2017.67,0,0,21223.92,2965.53,0,0,0,0,0,0,13500000,15050000,21475000,0,0,13415000,12000000,0,0,0,0,0,0,"109Y3S"
65000,新北市,65000180,深坑區,2005.71,447.3,610.92,0,0,316.88,630.62,0,0,0,0,0,0,7000000,5600000,11875000,0,0,6350000,7000000,0,0,0,0,0,0,2140.57,0,140.57,0,0,614.89,1385.11,0,0,0,0,0,0,11300000,0,13400000,0,0,10800000,11750000,0,0,0,0,0,0,"109Y3S"
65000,新北市,65000190,石碇區,71.35,0,0,0,0,0,71.35,0,0,0,0,0,0,21400000,0,0,0,0,0,21400000,0,0,0,0,0,0,112.81,0,0,0,0,0,112.81,0,0,0,0,0,0,7915000,0,0,0,0,0,7915000,0,0,0,0,0,0,"109Y3S"
65000,新北市,65000210,三芝區,2017.17,183.1,569.99,0,0,699.93,564.15,0,0,0,0,0,0,1955000,2240000,5150000,0,0,1300000,2000000,0,0,0,0,0,0,626.17,58.1,113.04,0,0,178.28,276.76,0,0,0,0,0,0,3000000,4200000,9660000,0,0,3525000,2400000,0,0,0,0,0,0,"109Y3S"
65000,新北市,65000220,石門區,97.79,52.13,45.67,0,0,0,0,0,0,0,0,0,0,1380000,1380000,6980000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"109Y3S"
65000,新北市,65000230,八里區,3311.4,322.99,603.35,0,0,2088.26,257.1,39.7,0,0,0,0,0,5775000,4300000,12940000,0,0,5850000,5500000,3675000,0,0,0,0,0,2353.74,0,0,0,0,1958.33,395.41,0,0,0,0,0,0,8000000,0,0,0,0,9100000,7500000,0,0,0,0,0,0,"109Y3S"
65000,新北市,65000240,平溪區,25.5,0,25.5,0,0,0,0,0,0,0,0,0,0,10000000,0,10000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"109Y3S"
65000,新北市,65000250,雙溪區,167.26,91.3,75.96,0,0,0,0,0,0,0,0,0,0,2500000,2100000,6250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"109Y3S"
